singer,voice_type,SPL_dB,vibrato_rate_Hz
Singer_1,Soprano,98.0340347084519,6.174772098543467
Singer_2,Soprano,92.5729030548189,4.797218296397444
Singer_3,Soprano,90.98272238284767,5.879742675695982
Singer_4,Soprano,92.18844306001826,6.174510937059183
Singer_5,Soprano,94.20597419962805,5.834217987998455
Singer_6,Soprano,92.23369751674821,4.449964794036776
Singer_7,Soprano,93.75443841747115,6.07361417309673
Singer_8,Soprano,93.31818696808875,7.055488601279325
Singer_9,Soprano,96.05101007128395,5.966093714518593
Singer_10,Soprano,95.70284017454394,5.91351467209776
Singer_11,Soprano,97.24687903832054,6.070832221921035
Singer_12,Soprano,90.34959540967547,5.802249703117605
Singer_13,Soprano,91.42180152036129,5.41926772460028
Singer_14,Soprano,99.7279365967753,4.878487643626814
Singer_15,Soprano,90.5251412145015,5.4344160204371175
Singer_16,Mezzo,78.28472614879199,5.8022026122849395
Singer_17,Mezzo,90.8706003934909,6.393151291735992
Singer_18,Mezzo,83.45750260022629,6.809169519290416
Singer_19,Mezzo,86.2329947278319,6.660494159180309
Singer_20,Mezzo,91.41215532144896,5.519543606218254
Singer_21,Mezzo,86.63983340490634,4.74718723342329
Singer_22,Mezzo,91.47897793058841,4.979616967381303
Singer_23,Mezzo,89.12637023261608,4.479200669605132
Singer_24,Mezzo,89.4660224643356,4.8952240513209375
Singer_25,Mezzo,89.11701525827792,6.622492804196587
Singer_26,Mezzo,87.43766447548167,5.211274322620847
Singer_27,Mezzo,87.95214159401847,6.477328805196967
Singer_28,Mezzo,91.59336484493448,4.275735144073655
Singer_29,Mezzo,82.86474725594447,4.96314245756826
Singer_30,Mezzo,91.37709816433464,5.026660046680692
Singer_31,Alto,77.77551808911602,4.618922984242282
Singer_32,Alto,87.11724641263129,5.238324176214889
Singer_33,Alto,83.19961013717884,5.3748779261670325
Singer_34,Alto,89.90364511762743,5.864056016875842
Singer_35,Alto,92.70728674922609,4.799372161861753
Singer_36,Alto,87.25998605934778,5.2763331345974676
Singer_37,Alto,90.09188647004873,5.493269650183039
Singer_38,Alto,79.03203193637898,5.198219948058889
Singer_39,Alto,88.47071444968651,5.013090900036236
Singer_40,Alto,81.26534424113156,4.177177909358892
Singer_41,Alto,81.20102940641975,5.367907928937989
Singer_42,Alto,83.5244210741524,5.2113923321117674
Singer_43,Alto,84.52028477151727,5.021662829113999
Singer_44,Alto,77.73550825444009,4.537183657691613
Singer_45,Alto,93.40057592970166,5.205111572694245
