singer,SPL_soft,SPL_medium,SPL_loud
Singer_1,69.4778,79.0755,89.8912
Singer_2,76.0082,84.4442,98.1925
Singer_3,75.3305,89.2843,95.8082
Singer_4,75.3441,82.4149,93.6047
Singer_5,70.4399,87.8668,89.6476
Singer_6,73.0855,83.5023,94.9375
Singer_7,68.7044,81.5153,95.255
Singer_8,72.7627,84.3324,95.2367
Singer_9,68.0803,75.3102,88.9401
Singer_10,75.148,84.9721,95.6549
Singer_11,73.9452,86.0786,97.6519
Singer_12,69.1472,79.9231,92.8756
Singer_13,70.7021,80.4977,89.4141
Singer_14,74.3529,81.3962,93.6869
Singer_15,73.3576,83.7395,94.8596
Singer_16,77.3414,89.2497,97.5095
Singer_17,69.6737,79.2542,94.5522
Singer_18,73.5399,83.4388,96.3108
Singer_19,72.8975,82.4247,94.5304
Singer_20,69.9525,88.3716,94.0287
