speaker,speaking_F0_Hz,singing_F0_Hz,age_years
Spk1,153.26935810905948,288.109707290772,48
Spk2,200.72134264710382,429.8889083285906,53
Spk3,140.27085423492582,283.4896220048655,62
Spk4,170.77923892518953,387.4081605975297,32
Spk5,134.00847882867066,321.84095450015724,39
Spk6,189.28420004356417,317.27165096429655,61
Spk7,122.32747643408811,262.8945190766093,45
Spk8,189.57072953104554,404.91558630672836,49
Spk9,156.00183171845276,283.62418219638744,24
Spk10,147.66764106801142,333.99581221306335,42
Spk11,157.31418260762615,365.74725515401144,39
Spk12,184.9666419427716,419.44760159767276,31
Spk13,151.10155949081204,362.64963071127147,33
Spk14,113.11111551009711,188.9246553113048,55
Spk15,126.52356063511866,259.2920302601722,37
Spk16,117.76214400314709,221.29033637909578,52
Spk17,111.53396612043848,282.91080384210085,30
Spk18,167.9929784231542,384.0911830244507,55
Spk19,217.79987326267505,480.8982747720181,54
Spk20,213.53505097278693,380.010246849864,55
Spk21,169.06990719089995,324.17671743245006,33
Spk22,129.54661679960108,271.6614241692279,26
Spk23,209.50935078993987,405.6384673323177,54
Spk24,221.7977492410869,520.0896594726776,37
Spk25,110.87068303976034,251.90154706195028,53
Spk26,222.4475904624956,457.10805676694326,60
Spk27,122.87116292835142,212.77279454088477,58
Spk28,157.1638802291733,314.6913697661774,23
Spk29,210.84883986204625,488.9350656589042,44
Spk30,141.16435427016611,307.13418242426667,60
