subject,voice_type,task,SPL_dB
Soprano_1,Soprano,Speech,90.21117583922837
Soprano_2,Soprano,Speech,85.53032668232095
Soprano_3,Soprano,Speech,89.11175513444462
Soprano_4,Soprano,Speech,88.063710571877
Soprano_5,Soprano,Speech,90.22123961037775
Soprano_6,Soprano,Speech,90.26273232056083
Soprano_7,Soprano,Speech,84.9111738278906
Soprano_8,Soprano,Speech,86.53996555037396
Soprano_9,Soprano,Speech,89.85182859745275
Soprano_10,Soprano,Speech,90.10417917555554
Soprano_11,Soprano,Speech,91.43444187005942
Soprano_12,Soprano,Speech,88.93152790836851
Soprano_1,Soprano,Singing,99.59004497208657
Soprano_2,Soprano,Singing,95.22485388969577
Soprano_3,Soprano,Singing,103.37938625268806
Soprano_4,Soprano,Singing,99.78478429944559
Soprano_5,Soprano,Singing,99.29622405633492
Soprano_6,Soprano,Singing,103.51981162823871
Soprano_7,Soprano,Singing,101.67510443672414
Soprano_8,Soprano,Singing,102.03485979706187
Soprano_9,Soprano,Singing,101.07198682705658
Soprano_10,Soprano,Singing,101.36775898977302
Soprano_11,Soprano,Singing,103.41284883929512
Soprano_12,Soprano,Singing,95.97327236218162
Alto_1,Alto,Speech,82.89607714957761
Alto_2,Alto,Speech,87.90709221060962
Alto_3,Alto,Speech,87.27040141917844
Alto_4,Alto,Speech,80.28153436887999
Alto_5,Alto,Speech,89.98918076409103
Alto_6,Alto,Speech,92.53905332593777
Alto_7,Alto,Speech,92.8051233992389
Alto_8,Alto,Speech,86.12343148936176
Alto_9,Alto,Speech,87.78567965355182
Alto_10,Alto,Speech,86.68249200068794
Alto_11,Alto,Speech,84.82299047714498
Alto_12,Alto,Speech,87.14929854314553
Alto_1,Alto,Singing,88.01261162287891
Alto_2,Alto,Singing,95.32730099967465
Alto_3,Alto,Singing,96.17253139644693
Alto_4,Alto,Singing,89.6266244472837
Alto_5,Alto,Singing,92.52472289311133
Alto_6,Alto,Singing,95.71762920453493
Alto_7,Alto,Singing,94.05317864435959
Alto_8,Alto,Singing,91.87413274982175
Alto_9,Alto,Singing,91.09169035011297
Alto_10,Alto,Singing,88.30501961810553
Alto_11,Alto,Singing,92.96317689782123
Alto_12,Alto,Singing,94.27998583690983
