"Q1","Q2","Q3","Q4","Q5","Q6","Q7","B1","B2","B3","R1","R2","R3","Voice","Notes"
5,4,2,3,2,3,2,1,0,0,34.5,32.8,62.3,"Soprano","r01"
2,2,4,2,4,2,3,0,1,0,71.8,68.8,20.3,"Alto","r02"
3,3,4,3,3,3,3,1,0,1,42.7,34.2,53.7,"Tenor","r03"
5,3,3,5,3,2,4,1,1,1,23.4,37.4,74.2,"Bass","r04"
5,3,1,4,3,,2,0,0,1,72.3,95.6,25,"Soprano","r05"
2,2,4,2,3,3,2,0,0,0,52.1,58,39.5,"Alto","r06"
4,3,3,3,3,3,2,1,1,1,36,49.9,65.9,"Tenor","r07"
4,4,2,4,2,5,2,0,1,0,77.3,89.4,25.8,"Bass","r08"
4,4,3,5,2,3,3,0,0,0,13.5,0,89.1,"Soprano","r09"
1,1,5,1,4,2,4,1,1,1,15.7,23.4,80.9,"Alto","r10"
5,,2,5,1,5,1,1,1,1,56.3,56.3,42,"Tenor","r11"
4,3,3,3,5,2,4,0,0,0,55.8,54.6,36.1,"Bass","r12"
4,3,4,3,3,3,3,0,0,0,51.1,32.3,55,"Soprano","r13"
3,4,2,3,2,3,2,0,1,0,68.1,67.8,37.7,"Alto","r14"
4,4,2,5,3,3,5,1,1,0,52.8,64.9,55.3,"Tenor","r15"
3,4,3,4,3,3,4,1,0,0,53.8,39.4,42.8,"Bass","r16"
2,2,5,1,4,1,5,1,0,0,66.9,64.1,38,"Soprano","r17"
4,3,2,4,1,3,2,0,0,0,72.9,,30.1,"Alto","r18"
3,2,3,3,2,3,2,0,1,0,63.5,37.7,43.1,"Tenor","r19"
4,3,2,3,3,3,4,1,1,1,36.1,31.4,73.9,"Bass","r20"
4,3,2,3,2,3,3,1,0,1,40.1,45,58,"Soprano","r21"
4,2,3,3,4,2,5,0,0,0,47,27.6,50.4,"Alto","r22"
3,2,5,2,2,4,1,1,1,1,52.4,44.2,48.5,"Tenor","r23"
3,2,4,3,2,3,2,1,1,1,38.6,49.4,64,"Bass","r24"
