fam,slot,idx,x
welch,a,1,8
welch,a,2,9
welch,a,3,10
welch,a,4,11
welch,a,5,12
welch,b,1,10
welch,b,2,12
welch,b,3,14
welch,b,4,16
welch,b,5,18
paired,a,1,12
paired,a,2,15
paired,a,3,11
paired,a,4,14
paired,a,5,13
paired,a,6,16
paired,b,1,14
paired,b,2,18
paired,b,3,12
paired,b,4,17
paired,b,5,15
paired,b,6,19
corr,x,1,1
corr,x,2,2
corr,x,3,3
corr,x,4,4
corr,x,5,5
corr,x,6,6
corr,x,7,7
corr,y,1,2.1
corr,y,2,4.4
corr,y,3,3.9
corr,y,4,7.8
corr,y,5,8.2
corr,y,6,12.2
corr,y,7,11.4
perfect,x,1,1
perfect,x,2,2
perfect,x,3,3
perfect,x,4,4
perfect,x,5,5
perfect,y,1,5
perfect,y,2,4
perfect,y,3,3
perfect,y,4,2
perfect,y,5,1
mwu,a,1,1
mwu,a,2,4
mwu,b,1,2
mwu,b,2,3
