table,analysis,term,term_type,field,value
demo_3groups,One-way ANOVA,,omnibus,data_column,SPL_dB
demo_3groups,One-way ANOVA,,omnibus,group_column,voice_type
demo_3groups,One-way ANOVA,,omnibus,F,14.59566074950687
demo_3groups,One-way ANOVA,,omnibus,df1,2
demo_3groups,One-way ANOVA,,omnibus,df2,12
demo_3groups,One-way ANOVA,,omnibus,p,0.0006112982113522938
demo_3groups,One-way ANOVA,,omnibus,eta_squared,0.7086764987550273
demo_3groups,One-way ANOVA,,omnibus,effect_label,large effect
demo_3groups,One-way ANOVA,,omnibus,ss_between,123.33333333333333
demo_3groups,One-way ANOVA,,omnibus,ss_within,50.70000000000012
demo_3groups,One-way ANOVA,,omnibus,ms_between,61.666666666666664
demo_3groups,One-way ANOVA,,omnibus,ms_within,4.225000000000009
demo_3groups,One-way ANOVA,,omnibus,n_groups,3
demo_3groups,Tukey HSD,Soprano vs Mezzo,contrast,q,4.351426345763365
demo_3groups,Tukey HSD,Soprano vs Mezzo,contrast,df,12
demo_3groups,Tukey HSD,Soprano vs Mezzo,contrast,p_adjusted,0.02415382861622073
demo_3groups,Tukey HSD,Soprano vs Mezzo,contrast,cohens_d,1.9460170216420776
demo_3groups,Tukey HSD,Soprano vs Mezzo,contrast,effect_label,large effect
demo_3groups,Tukey HSD,Soprano,group,n,5
demo_3groups,Tukey HSD,Soprano,group,mean,94.6
demo_3groups,Tukey HSD,Soprano,group,sd,2.0554804791094488
demo_3groups,Tukey HSD,Soprano,group,median,94.6
demo_3groups,Tukey HSD,Mezzo,group,n,5
demo_3groups,Tukey HSD,Mezzo,group,mean,90.6
demo_3groups,Tukey HSD,Mezzo,group,sd,2.0554804791094488
demo_3groups,Tukey HSD,Mezzo,group,median,90.6
demo_3groups,Tukey HSD,Soprano vs Alto,contrast,q,7.614996105085887
demo_3groups,Tukey HSD,Soprano vs Alto,contrast,df,12
demo_3groups,Tukey HSD,Soprano vs Alto,contrast,p_adjusted,0.00044544782695676854
demo_3groups,Tukey HSD,Soprano vs Alto,contrast,cohens_d,3.4055297878736357
demo_3groups,Tukey HSD,Soprano vs Alto,contrast,effect_label,large effect
demo_3groups,Tukey HSD,Alto,group,n,5
demo_3groups,Tukey HSD,Alto,group,mean,87.6
demo_3groups,Tukey HSD,Alto,group,sd,2.0554804791094488
demo_3groups,Tukey HSD,Alto,group,median,87.6
demo_3groups,Tukey HSD,Mezzo vs Alto,contrast,q,3.263569759322523
demo_3groups,Tukey HSD,Mezzo vs Alto,contrast,df,12
demo_3groups,Tukey HSD,Mezzo vs Alto,contrast,p_adjusted,0.09314380760813412
demo_3groups,Tukey HSD,Mezzo vs Alto,contrast,cohens_d,1.4595127662315581
demo_3groups,Tukey HSD,Mezzo vs Alto,contrast,effect_label,large effect
