subject,voice_type,value,.fitted,.resid,.std.resid
S01,"Soprano, lyric",87.1037,92.24072,-5.137019999999993,-1.2219221690309328
S02,"Soprano, lyric",93.5104,92.24072,1.2696800000000081,0.30201364596112273
S03,"Soprano, lyric",95.98,92.24072,3.739280000000008,0.8894474088506571
S04,"Soprano, lyric",89.9472,92.24072,-2.293520000000001,-0.5455503255030796
S05,"Soprano, lyric",86.6841,92.24072,-5.556619999999995,-1.3217307238205547
S06,"Soprano, lyric",91.7379,92.24072,-0.5028199999999998,-0.11960375957892597
S07,"Soprano, lyric",93.912,92.24072,1.67128000000001,0.39754061355767206
S08,"Soprano, lyric",96.3927,92.24072,4.151980000000009,0.9876146885496008
S09,"Soprano, lyric",87.1365,92.24072,-5.104219999999998,-1.2141201657013354
S10,"Soprano, lyric",86.8285,92.24072,-5.412219999999991,-1.287382879893906
S11,"Soprano, lyric",94.8237,92.24072,2.5829800000000063,0.6144030048867886
S12,"Soprano, lyric",93.8963,92.24072,1.6555800000000005,0.39380611806148996
S13,"Soprano, lyric",98.1351,92.24072,5.894379999999998,1.4020723288390073
S14,"Soprano, lyric",95.9298,92.24072,3.689080000000004,0.8775065379010876
S15,"Soprano, lyric",91.5929,92.24072,-0.6478199999999958,-0.15409432307867496
S16,Mezzo-soprano,86.4031,87.79388,-1.3907800000000066,-0.33081921313229284
S17,Mezzo-soprano,97.7821,87.79388,9.988219999999998,2.3758574907549823
S18,Mezzo-soprano,86.3448,87.79388,-1.449079999999995,-0.3446867983187413
S19,Mezzo-soprano,84.3603,87.79388,-3.4335800000000063,-0.816731786354977
S20,Mezzo-soprano,82.9466,87.79388,-4.847279999999998,-1.1530028871797784
S21,Mezzo-soprano,87.8818,87.79388,0.08791999999999689,0.020913174778606266
S22,Mezzo-soprano,88.0813,87.79388,0.28741999999999734,0.06836743283515889
S23,Mezzo-soprano,86.1205,87.79388,-1.6733799999999945,-0.3980401320635268
S24,Mezzo-soprano,87.2514,87.79388,-0.5424799999999976,-0.12903752336099497
S25,Mezzo-soprano,88.5924,87.79388,0.7985199999999963,0.18994072252289798
S26,Mezzo-soprano,90.2696,87.79388,2.4757199999999955,0.5888895025351779
S27,Mezzo-soprano,91.8872,87.79388,4.093320000000006,0.9736614716192874
S28,Mezzo-soprano,88.3393,87.79388,0.5454199999999929,0.12973684926919568
S29,Mezzo-soprano,80.3409,87.79388,-7.452979999999997,-1.7728102065680433
S30,Mezzo-soprano,90.3069,87.79388,2.5130199999999974,0.5977619026630451
S31,Alto,78.3212,83.97291333333334,-5.651713333333333,-1.3443501903842539
S32,Alto,83.3143,83.97291333333334,-0.658613333333335,-0.15666168962148536
S33,Alto,78.1048,83.97291333333334,-5.868113333333341,-1.3958243830831927
S34,Alto,84.0084,83.97291333333334,0.035486666666656674,0.008441069862488151
S35,Alto,80.8857,83.97291333333334,-3.087213333333338,-0.7343429483490221
S36,Alto,84.8555,83.97291333333334,0.8825866666666684,0.20993732048758187
S37,Alto,97.2012,83.97291333333334,13.228286666666662,3.1465590432383594
S38,Alto,83.8056,83.97291333333334,-0.16731333333333964,-0.039798145846126766
S39,Alto,87.3693,83.97291333333334,3.3963866666666576,0.8078847585956581
S40,Alto,78.7067,83.97291333333334,-5.26621333333334,-1.2526528646659547
S41,Alto,82.8478,83.97291333333334,-1.1251133333333314,-0.26762615770861103
S42,Alto,86.6499,83.97291333333334,2.6769866666666644,0.6367639904458658
S43,Alto,83.6293,83.97291333333334,-0.3436133333333373,-0.08173391374271874
S44,Alto,85.4807,83.97291333333334,1.5077866666666608,0.35865111566029506
S45,Alto,84.4133,83.97291333333334,0.4403866666666687,0.10475299511110313
