subject,voice_type,value
S01,"Soprano, lyric",87.1037
S02,"Soprano, lyric",93.5104
S03,"Soprano, lyric",95.98
S04,"Soprano, lyric",89.9472
S05,"Soprano, lyric",86.6841
S06,"Soprano, lyric",91.7379
S07,"Soprano, lyric",93.912
S08,"Soprano, lyric",96.3927
S09,"Soprano, lyric",87.1365
S10,"Soprano, lyric",86.8285
S11,"Soprano, lyric",94.8237
S12,"Soprano, lyric",93.8963
S13,"Soprano, lyric",98.1351
S14,"Soprano, lyric",95.9298
S15,"Soprano, lyric",91.5929
S16,Mezzo-soprano,86.4031
S17,Mezzo-soprano,97.7821
S18,Mezzo-soprano,86.3448
S19,Mezzo-soprano,84.3603
S20,Mezzo-soprano,82.9466
S21,Mezzo-soprano,87.8818
S22,Mezzo-soprano,88.0813
S23,Mezzo-soprano,86.1205
S24,Mezzo-soprano,87.2514
S25,Mezzo-soprano,88.5924
S26,Mezzo-soprano,90.2696
S27,Mezzo-soprano,91.8872
S28,Mezzo-soprano,88.3393
S29,Mezzo-soprano,80.3409
S30,Mezzo-soprano,90.3069
S31,Alto,78.3212
S32,Alto,83.3143
S33,Alto,78.1048
S34,Alto,84.0084
S35,Alto,80.8857
S36,Alto,84.8555
S37,Alto,97.2012
S38,Alto,83.8056
S39,Alto,87.3693
S40,Alto,78.7067
S41,Alto,82.8478
S42,Alto,86.6499
S43,Alto,83.6293
S44,Alto,85.4807
S45,Alto,84.4133
