table,analysis,term,field,value
demo_twoway,Two-way ANOVA,,data_column,SPL_dB
demo_twoway,Two-way ANOVA,,factor_1,voice_type
demo_twoway,Two-way ANOVA,,factor_2,task
demo_twoway,Two-way ANOVA,,n,24
demo_twoway,Two-way ANOVA,,n_cells,4
demo_twoway,Two-way ANOVA,voice_type,term_type,main effect
demo_twoway,Two-way ANOVA,voice_type,F,23.145752195500645
demo_twoway,Two-way ANOVA,voice_type,df1,1
demo_twoway,Two-way ANOVA,voice_type,df2,20
demo_twoway,Two-way ANOVA,voice_type,p,0.00010626756554765438
demo_twoway,Two-way ANOVA,voice_type,ss,119.260417
demo_twoway,Two-way ANOVA,voice_type,ms,119.260417
demo_twoway,Two-way ANOVA,voice_type,partial_eta_squared,0.5364549467262353
demo_twoway,Two-way ANOVA,task,term_type,main effect
demo_twoway,Two-way ANOVA,task,F,0.08806262230919766
demo_twoway,Two-way ANOVA,task,df1,1
demo_twoway,Two-way ANOVA,task,df2,20
demo_twoway,Two-way ANOVA,task,p,0.76971462786526
demo_twoway,Two-way ANOVA,task,ss,0.45375
demo_twoway,Two-way ANOVA,task,ms,0.45375
demo_twoway,Two-way ANOVA,task,partial_eta_squared,0.00438382854359474
demo_twoway,Two-way ANOVA,voice_type_x_task,term_type,interaction
demo_twoway,Two-way ANOVA,voice_type_x_task,F,0.4794520554414453
demo_twoway,Two-way ANOVA,voice_type_x_task,df1,1
demo_twoway,Two-way ANOVA,voice_type_x_task,df2,20
demo_twoway,Two-way ANOVA,voice_type_x_task,p,0.4966322773357911
demo_twoway,Two-way ANOVA,voice_type_x_task,ss,2.47041667
demo_twoway,Two-way ANOVA,voice_type_x_task,ms,2.47041667
demo_twoway,Two-way ANOVA,voice_type_x_task,partial_eta_squared,0.02341137126830762
demo_twoway,Two-way ANOVA,Error,term_type,error
demo_twoway,Two-way ANOVA,Error,df1,20
demo_twoway,Two-way ANOVA,Error,ss,103.05166666666665
demo_twoway,Two-way ANOVA,Error,ms,5.152583333333332
demo_twoway,Two-way ANOVA,Total,term_type,total
demo_twoway,Two-way ANOVA,Total,df1,23
demo_twoway,Two-way ANOVA,Total,ss,225.23624999999998
