singer,practice_hrs_wk,vibrato_regularity_pct,experience_yrs
S1,9.651693900956824,71.79068633953113,2
S2,9.441194418280608,74.20982019376142,4
S3,12.00793862171911,89.46372210407873,11
S4,15.943628765089343,88.97407343942034,14
S5,22.555956255221613,100,15
S6,21.117782798062436,100,22
S7,1.8588664833914819,46.48800584016934,2
S8,10.017335729243493,80.38833524923822,8
S9,5.952358831420448,68.9085232740159,5
S10,3.8403014836155016,46.092069658324995,1
S11,18.633253822973792,97.46484045573558,17
S12,15.479023990584466,77.86956229132576,18
S13,21.373719295179896,100,19
S14,11.386910879023658,74.30513589063216,11
S15,13.892013527270159,74.31114112043069,13
S16,13.611820548603548,88.08832906550144,9
S17,6.164299380952148,58.7178140753938,6
S18,16.88644242223078,100,13
S19,11.314480656237874,79.48143235979371,11
S20,15.560725659071393,96.4573181044458,12
S21,9.725279567495875,87.48544800903193,9
S22,5.357950150925233,59.760504775936255,7
S23,14.528550885240016,75.42764879043396,12
S24,9.381107481919654,67.6799822728468,7
S25,12.226150601719576,80.5042723651273,9
