case,xcol,ycol,n,nrows,p,sigma,sigma.lr,slope,intercept,n.singular,error
committed,practice_hrs_wk,vibrato_regularity_pct,25,25,2,7.073691661958187,7.073691661958199,2.6222265439955437,47.0584829394536,0,""
committed_exp,experience_yrs,vibrato_regularity_pct,25,25,2,10.10938461018483,10.109384610184838,2.2741687452773967,55.97629192555538,0,""
missing,practice_hrs_wk,vibrato_regularity_pct,22,25,2,7.498717648750299,7.498717648750293,2.556750340784475,48.15426241564345,0,""
leverage,x,y,26,26,2,1.1658995459132748,1.165899545913296,1.6900427101294744,4.0680692642953336,0,""
outlier,x,y,26,26,2,2.611738265460469,2.6117382654604686,0.9155409458036458,7.977889849753314,0,""
tiny,x,y,3,3,2,0.8825226081218281,0.8825226081218318,1.8115384615384613,0.1692307692307704,0,""
red_n2,x,y,0,2,2,NA,NA,NA,NA,0,"Need at least 3 non-missing paired observations (found 2)."
red_const,x,y,0,8,2,NA,NA,NA,NA,0,"Predictor has zero variance."
red_perfect,x,y,9,9,2,0,0,2,1,0,"Residual standard error is zero (the points lie exactly on the line); influence diagnostics are undefined."
nearperfect,x,y,9,9,2,3.5634839160085373e-10,9.011375260573082e-08,1.9999999999999998,1.000000000111113,0,""
red_lev1,x,y,24,24,2,0.8290191356493087,0.8290191356493087,2.3571428571428577,2.1999999999999997,1,""
red_lev1b,x,y,24,24,2,0.8290191356493087,0.8290191356493087,4.714285714285715,2.1999999999999997,1,""
red_nocol,not_a_column,y,0,3,2,NA,NA,NA,NA,0,"Column "not_a_column" not found in table "red_nocol"."
