F0_Hz,shimmer_pct,jitter_pct
121.7455616938,3.2417530370,2.1598684971
146.1258974738,1.6016124526,1.0414317105
151.5432018074,1.9875454910,1.3105583172
202.2625361732,1.2690975504,0.5023361553
170.5455388329,2.0813399862,0.3729694074
236.3237628945,1.0370176648,1.1068591293
169.1574836675,1.4752069435,1.0905787045
140.4518222507,0.9618633542,0.8831894536
208.1489540827,2.3346546760,0.9971200985
214.0853592623,4.7872000231,1.0395150906
194.8018669714,1.5038338893,0.6813634384
125.7112042820,0.8405143493,1.8945881145
174.7522455991,1.9884362894,1.1312298302
172.2703105099,2.1389856568,0.2010315225
230.8526354865,0.9511105206,1.9188702965
177.7747090337,1.3943172841,0.7644329177
171.8463417948,1.3068556238,0.4323396149
165.8121822042,2.1496965654,1.6722475770
184.9343545552,1.0789980490,1.4833159921
184.4016755987,1.6847835538,1.7068146924
193.4784622294,4.2472532426,0.4962577409
235.1544172572,3.0583686365,0.7451366172
143.6258588759,1.0506882808,0.7714361233
160.3692470397,1.7128647578,0.6744458401
151.5541364468,1.9801819539,1.2999488925
200.9644927692,0.8876131523,0.8198175961
230.1921661024,5.9027879334,2.0099887737
167.4112487935,2.4441704989,1.1462997186
162.6313451347,1.9696047619,1.0917623629
145.9133908323,0.7677599796,0.4582340528
211.8513255229,3.7228454349,0.8774351071
231.6124818931,0.8283122782,1.2548868834
214.9189643616,1.8621628842,1.5627593340
219.3622639504,1.8886629290,1.2343748317
147.8971660487,3.6384410780,0.5598245113
175.8289419799,4.2436220580,1.0984428762
192.1980224395,3.4926842440,1.9468714108
195.3183340908,3.1095823930,1.7015949981
180.3322259422,1.3425050031,1.0711798560
207.4573362873,1.4568825684,0.6533294936
