grp,value
1,1.4
1,1.3
1,1.5
1,1.3
1,1.5
1,1.3
1,1.5
1,1.3
1,1.5
1,1.3
1,1.5
1,1.3
1,1.5
1,1.3
1,1.5
1,1.3
1,1.5
1,1.3
1,1.5
1,1.3
1,1.5
2,1.3
2,1.2
2,1.4
2,1.2
2,1.4
2,1.2
2,1.4
2,1.2
2,1.4
2,1.2
2,1.4
2,1.2
2,1.4
2,1.2
2,1.4
2,1.2
2,1.4
2,1.2
2,1.4
2,1.2
2,1.4
3,1.5
3,1.4
3,1.6
3,1.4
3,1.6
3,1.4
3,1.6
3,1.4
3,1.6
3,1.4
3,1.6
3,1.4
3,1.6
3,1.4
3,1.6
3,1.4
3,1.6
3,1.4
3,1.6
3,1.4
3,1.6
4,1.3
4,1.2
4,1.4
4,1.2
4,1.4
4,1.2
4,1.4
4,1.2
4,1.4
4,1.2
4,1.4
4,1.2
4,1.4
4,1.2
4,1.4
4,1.2
4,1.4
4,1.2
4,1.4
4,1.2
4,1.4
5,1.5
5,1.4
5,1.6
5,1.4
5,1.6
5,1.4
5,1.6
5,1.4
5,1.6
5,1.4
5,1.6
5,1.4
5,1.6
5,1.4
5,1.6
5,1.4
5,1.6
5,1.4
5,1.6
5,1.4
5,1.6
6,1.3
6,1.2
6,1.4
6,1.2
6,1.4
6,1.2
6,1.4
6,1.2
6,1.4
6,1.2
6,1.4
6,1.2
6,1.4
6,1.2
6,1.4
6,1.2
6,1.4
6,1.2
6,1.4
6,1.2
6,1.4
7,1.5
7,1.4
7,1.6
7,1.4
7,1.6
7,1.4
7,1.6
7,1.4
7,1.6
7,1.4
7,1.6
7,1.4
7,1.6
7,1.4
7,1.6
7,1.4
7,1.6
7,1.4
7,1.6
7,1.4
7,1.6
8,1.3
8,1.2
8,1.4
8,1.2
8,1.4
8,1.2
8,1.4
8,1.2
8,1.4
8,1.2
8,1.4
8,1.2
8,1.4
8,1.2
8,1.4
8,1.2
8,1.4
8,1.2
8,1.4
8,1.2
8,1.4
9,1.5
9,1.4
9,1.6
9,1.4
9,1.6
9,1.4
9,1.6
9,1.4
9,1.6
9,1.4
9,1.6
9,1.4
9,1.6
9,1.4
9,1.6
9,1.4
9,1.6
9,1.4
9,1.6
9,1.4
9,1.6
