dataset,statistic,value
AtmWtAg,df.between,1
AtmWtAg,sumsq.between,3.6383418747907136e-09
AtmWtAg,meansq.between,3.6383418747907136e-09
AtmWtAg,statistic,15.946733566676928
AtmWtAg,df.within,46
AtmWtAg,sumsq.within,1.049517291679747e-08
AtmWtAg,meansq.within,2.2815593297385806e-10
AtmWtAg,r.squared,0.25742654452494285
AtmWtAg,residual.sd,1.5104831444735094e-05
SiRstv,df.between,4
SiRstv,sumsq.between,0.05114626159999952
SiRstv,meansq.between,0.01278656539999988
SiRstv,statistic,1.180462374402447
SiRstv,df.within,20
SiRstv,sumsq.within,0.2166365600000165
SiRstv,meansq.within,0.010831828000000824
SiRstv,r.squared,0.19099903905111615
SiRstv,residual.sd,0.10407606833466003
SmLs01,df.between,8
SmLs01,sumsq.between,1.6800000000000013
SmLs01,meansq.between,0.21000000000000016
SmLs01,statistic,21
SmLs01,df.within,180
SmLs01,sumsq.within,1.8000000000000012
SmLs01,meansq.within,0.010000000000000007
SmLs01,r.squared,0.48275862068965525
SmLs01,residual.sd,0.10000000000000003
SmLs02,df.between,8
SmLs02,sumsq.between,16.080000000000013
SmLs02,meansq.between,2.0100000000000016
SmLs02,statistic,201.00000000000006
SmLs02,df.within,1800
SmLs02,sumsq.within,18.00000000000001
SmLs02,meansq.within,0.010000000000000005
SmLs02,r.squared,0.47183098591549294
SmLs02,residual.sd,0.10000000000000003
SmLs03,df.between,8
SmLs03,sumsq.between,160.08000000000013
SmLs03,meansq.between,20.010000000000016
SmLs03,statistic,2001.0000000000005
SmLs03,df.within,18000
SmLs03,sumsq.within,180.00000000000009
SmLs03,meansq.within,0.010000000000000005
SmLs03,r.squared,0.4707127734650671
SmLs03,residual.sd,0.10000000000000003
SmLs04,df.between,8
SmLs04,sumsq.between,1.6800000001490114
SmLs04,meansq.between,0.21000000001862643
SmLs04,statistic,21.000000000776097
SmLs04,df.within,180
SmLs04,sumsq.within,1.8000000000931324
SmLs04,meansq.within,0.010000000000517402
SmLs04,r.squared,0.4827586206988835
SmLs04,residual.sd,0.100000000002587
SmLs05,df.between,8
SmLs05,sumsq.between,16.08000000182539
SmLs05,meansq.between,2.0100000002281737
SmLs05,statistic,201.00000001241762
SmLs05,df.within,1800
SmLs05,sumsq.within,18.000000000931323
SmLs05,meansq.within,0.0100000000005174
SmLs05,r.squared,0.47183098593088874
SmLs05,residual.sd,0.100000000002587
SmLs06,df.between,8
SmLs06,sumsq.between,160.0800000185892
SmLs06,meansq.between,20.01000000232365
SmLs06,statistic,2001.000000128833
SmLs06,df.within,18000
SmLs06,sumsq.within,180.00000000931323
SmLs06,meansq.within,0.0100000000005174
SmLs06,r.squared,0.4707127734811079
SmLs06,residual.sd,0.100000000002587
SmLs07,df.between,8
SmLs07,sumsq.between,1.6801562694014696
SmLs07,meansq.between,0.2100195336751837
SmLs07,statistic,21.000811887818774
SmLs07,df.within,180
SmLs07,sumsq.within,1.8000978373345875
SmLs07,meansq.within,0.010000543540747708
SmLs07,r.squared,0.4827682743479894
SmLs07,residual.sd,0.10000271766680997
SmLs08,df.between,8
SmLs08,sumsq.between,16.081914284204238
SmLs08,meansq.between,2.0102392855255298
SmLs08,statistic,201.01300409594845
SmLs08,df.within,1800
SmLs08,sumsq.within,18.00097824625708
SmLs08,meansq.within,0.010000543470142823
SmLs08,r.squared,0.4718471083353959
SmLs08,residual.sd,0.10000271731379515
SmLs09,df.between,8
SmLs09,sumsq.between,160.09949443572512
SmLs09,meansq.between,20.01243680446564
SmLs09,statistic,2001.1349262209505
SmLs09,df.within,18000
SmLs09,sumsq.within,180.00978232919425
SmLs09,meansq.within,0.010000543462733014
SmLs09,r.squared,0.4707295724438134
SmLs09,residual.sd,0.1000027172767471

