case,k,n_total,balance,ties,var_ratio,n_spec
c01,2,16,equal,none,1.0,8-8
c02,2,6,equal,none,1.0,3-3
c03,2,35,6to1,none,1.0,30-5
c04,2,24,equal,none,10.0,12-12
c05,2,24,equal,heavy,1.0,12-12
c06,3,24,equal,none,1.0,8-8-8
c07,3,9,equal,none,1.0,3-3-3
c08,3,47,6to1,none,1.0,30-12-5
c09,3,43,mild,moderate,1.0,14-9-20
c10,3,42,equal,heavy,1.0,14-14-14
c11,3,60,equal,none,10.0,20-20-20
c12,3,30,equal,none,1.0,10-10-10
c13,5,30,equal,none,1.0,6-6-6-6-6
c14,5,65,6to1,none,1.0,18-4-11-7-25
c15,5,60,equal,heavy,1.0,12-12-12-12-12
c16,3,600,equal,none,1.0,200-200-200

