case,test,statistic,value
c01,anova,statistic,3.1016722186311365
c01,anova,p.value,0.10002684121653546
c01,anova,df.between,1
c01,anova,df.within,14
c01,anova,sumsq.between,13.401392227959342
c01,anova,sumsq.within,60.48978678805495
c01,anova,meansq.within,4.320699056289639
c01,anova,eta.squared,0.18136660432843932
c01,tukey,estimate:G1-G2,-1.8303956012266411
c01,tukey,adj.p.value:G1-G2,0.10002684121606165
c01,kruskal,statistic,2.481617647058826
c01,kruskal,p.value,0.1151837315150511
c01,kruskal,df,1
c01,kruskal,tie.correction,1
c02,anova,statistic,4.1305674601178195
c02,anova,p.value,0.11190925075245517
c02,anova,df.between,1
c02,anova,df.within,4
c02,anova,sumsq.between,8.528209073430698
c02,anova,sumsq.within,8.258631924813004
c02,anova,meansq.within,2.064657981203251
c02,anova,eta.squared,0.508029418657325
c02,tukey,estimate:G1-G2,-2.384422931365254
c02,tukey,adj.p.value:G1-G2,0.11190969964757946
c02,kruskal,statistic,3.857142857142854
c02,kruskal,p.value,0.04953461343562677
c02,kruskal,df,1
c02,kruskal,tie.correction,1
c03,anova,statistic,6.26975994777152
c03,anova,p.value,0.01740357075335898
c03,anova,df.between,1
c03,anova,df.within,33
c03,anova,sumsq.between,31.456519011958022
c03,anova,sumsq.within,165.5669652493757
c03,anova,meansq.within,5.017180765132597
c03,anova,eta.squared,0.1596587286530463
c03,tukey,estimate:G1-G2,-2.709216572392016
c03,tukey,adj.p.value:G1-G2,0.01740357075341492
c03,kruskal,statistic,6.0088888888889045
c03,kruskal,p.value,0.01423398767298203
c03,kruskal,df,1
c03,kruskal,tie.correction,1
c04,anova,statistic,0.533496875323457
c04,anova,p.value,0.472847574713239
c04,anova,df.between,1
c04,anova,df.within,22
c04,anova,sumsq.between,81.14035684807766
c04,anova,sumsq.within,3346.0136942234512
c04,anova,meansq.within,152.09153155561143
c04,anova,eta.squared,0.023675725000662996
c04,tukey,estimate:G1-G2,3.677416594297271
