empty_bar	BLANK_FRAME_ABS	0.997%	4821	
empty_box	BLANK_FRAME_ABS	0.893%	4609	
empty_gbox	BLANK_FRAME_ABS	0.904%	4609	
empty_gviolin	BLANK_FRAME_ABS	0.904%	4609	
empty_hist	BLANK_FRAME_ABS	0.000%	0	
empty_scatter	BLANK_FRAME_ABS	0.879%	5305	
empty_spaghetti	BLANK_FRAME_ABS	0.895%	4724	
empty_ts	BLANK_FRAME_ABS	1.011%	6969	
empty_tsci	BLANK_FRAME_ABS	1.011%	6969	
empty_violin	BLANK_FRAME_ABS	0.893%	4609	
bar_baseline	OK	25.411%	532010	
bar_customerr	OK	25.229%	526774	
bar_sd	OK	25.408%	531190	
box_baseline	OK	5.100%	95162	
gbox_baseline	OK	4.019%	70500	
gviolin_baseline	OK	5.768%	108020	
hist_1bin	OK	51.397%	1.09341e+06	
hist_200bins	OK	4.972%	87975	
hist_baseline	OK	29.888%	628767	
scatter_baseline	OK	2.287%	32744	
scatter_grouped	OK	2.603%	39456	
spaghetti_baseline	OK	2.117%	25914	
spaghetti_grouped	OK	2.437%	31518	
ts_baseline	OK	1.375%	10795	
ts_duplicate_times	OK	1.537%	12004	
tsci_baseline	OK	32.451%	683969	
violin_12groups	OK	9.383%	115839	
violin_baseline	OK	12.473%	254570	
violin_bw	OK	14.989%	6871	
violin_hugevalues	OK	13.783%	281560	
violin_longlabels	OK	6.777%	152523	
violin_n1	OK	0.905%	5318	
violin_onegroup	OK	12.989%	267006	
violin_outlier	OK	5.648%	104396	
violin_spanzero	OK	12.423%	252799	
violin_tinyvalues	OK	13.778%	281348	
violin_undefined	OK	17.416%	361229	
violin_zerovar	OK	0.995%	6046	
