file,tree,scatter_choice,step,shows
prefix_off.log,pre-C1 (236b915),Off,driver log,"scatter writes gridlineMode: 4; histogram Draw refused, page does not advance"
prefix_off_1_scatter_set.png,pre-C1 (236b915),Off,scatter dialog,"Gridline mode reads Off on the four-option menu"
prefix_off_2_scatter_dropped.png,pre-C1 (236b915),Off,scatter dialog list open,"Both / Horizontal only / Vertical only / Off, Off selected"
prefix_off_config_after_scatter.txt,pre-C1 (236b915),Off,config on disk,"gridlineMode: 4 — the four-option index, persisted"
prefix_off_3_histogram_dialog.png,pre-C1 (236b915),Off,histogram dialog,"THE DEFECT: Gridline mode renders BLANK (seeded with 4 on a 2-option menu)"
prefix_off_4_histogram_dropped.png,pre-C1 (236b915),Off,histogram list open,"two entries only; the highlight is the pointer's, not a selection — see note 1"
prefix_off_5_after_draw.png,pre-C1 (236b915),Off,after clicking Draw,"still on the histogram page; an error window is up behind the Objects window"
prefix_off_6_refusal.png,pre-C1 (236b915),Off,error dialog moved clear,"""No option chosen for “Gridline mode”. Please correct command window “Pause: Histogram -- Column Mapping” or cancel."""
fixed_off.log,working tree,Off,driver log,"same scatter, histogram Draw accepted, workflow completes"
fixed_off_3_histogram_dialog.png,working tree,Off,histogram dialog,"Gridline mode reads Off — populated, not blank"
fixed_off_4_histogram_dropped.png,working tree,Off,histogram list open,"Horizontal / Off, Off selected"
fixed_off_5_after_draw.png,working tree,Off,after clicking Draw,"Graph Complete — the figure drew"
fixed_off_config_after_histogram.txt,working tree,Off,config on disk,"gridlineMode: 4 — the histogram committed Off back as Off, round trip stable"
prefix_horiz.log,pre-C1 (236b915),Horizontal only,driver log,"scatter writes gridlineMode: 2; histogram accepts it (2 is in range) and inverts its meaning"
prefix_horiz_4_histogram_dropped.png,pre-C1 (236b915),Horizontal only,histogram list open,"THE SECOND DEFECT: OFF is selected — the user asked for horizontal gridlines"
prefix_horiz_config_after_histogram.txt,pre-C1 (236b915),Horizontal only,config on disk,"gridlineMode: 2 — a scatter reads this back as ""Horizontal only"" although the histogram drew none"
fixed_horiz.log,working tree,Horizontal only,driver log,"scatter writes gridlineMode: 2; histogram accepts and preserves"
fixed_horiz_4_histogram_dropped.png,working tree,Horizontal only,histogram list open,"HORIZONTAL is selected — the meaning survives the encoding change"
fixed_horiz_config_after_histogram.txt,working tree,Horizontal only,config on disk,"gridlineMode: 2 — committed back as Horizontal only, round trip stable"
