type,style,canonical,menu,back
1,4,1,1,1
1,4,2,2,2
1,4,3,3,3
1,4,4,4,4
2,4,1,1,1
2,4,2,2,2
2,4,3,3,3
2,4,4,4,4
3,4,1,1,1
3,4,2,2,2
3,4,3,3,3
3,4,4,4,4
4,4,1,1,1
4,4,2,2,2
4,4,3,3,3
4,4,4,4,4
5,4,1,1,1
5,4,2,2,2
5,4,3,3,3
5,4,4,4,4
6,2,1,1,2
6,2,2,1,2
6,2,3,2,4
6,2,4,2,4
7,2,1,1,2
7,2,2,1,2
7,2,3,2,4
7,2,4,2,4
8,4,1,1,1
8,4,2,2,2
8,4,3,3,3
8,4,4,4,4
9,2,1,1,2
9,2,2,1,2
9,2,3,2,4
9,2,4,2,4
10,2,1,1,2
10,2,2,1,2
10,2,3,2,4
10,2,4,2,4
11,2,1,1,2
11,2,2,1,2
11,2,3,2,4
11,2,4,2,4
12,2,1,1,2
12,2,2,1,2
12,2,3,2,4
12,2,4,2,4
13,2,1,1,2
13,2,2,1,2
13,2,3,2,4
13,2,4,2,4
