praat_version	6.6.30
at_target_version	1
objects_baseline	0
strings_n_files	2
strings_get_string_1	one.wav
strings_get_string_overrun_len	0
table_n_columns	10
table_csv_written	1
table_undefined_token	1
iter1_channels_in	2
iter1_channels_out	1
iter1_n_tiers	1
iter1_is_interval_tier	1
iter1_n_intervals	2
iter1_n_segments	2
iter1_seg1_duration	1.0000
objects_after_iter1	2
iter2_channels_in	2
iter2_channels_out	1
iter2_n_tiers	1
iter2_is_interval_tier	1
iter2_n_intervals	2
iter2_n_segments	2
iter2_seg1_duration	1.0000
objects_after_iter2	2
iter3_channels_in	2
iter3_channels_out	1
iter3_n_tiers	1
iter3_is_interval_tier	1
iter3_n_intervals	2
iter3_n_segments	2
iter3_seg1_duration	1.0000
objects_after_iter3	2
mono_file_channels	1
extract_part_overhang_duration	2.5000
extract_part_outside_duration	1.0000
createfolder_missing_parent	0
createfolder_each_level	1
objects_final	0
completed	1
read_after_string_overrun_aborted	1
read_after_string_overrun_exit	255
intervals_tier_overrange_aborted	1
intervals_tier_overrange_exit	255
intervals_on_point_tier_aborted	1
intervals_on_point_tier_exit	255
isintervaltier_overrange_aborted	1
isintervaltier_overrange_exit	255
form_derived_declared	17
form_derived_missing	0
form_optionmenu_readback	Left channel only
form_positive_readback	500
