leg	key	value
e_wizard	display	:145
e_wizard	listening	1
e_wizard	entry	eml-wizard.praat
e_wizard	steps	0
e_wizard	trail	Pause: EML Stats Wizard
e_wizard	final	Pause: EML Stats Wizard
e_wizard	state	page
e_wizard	objects	(objects window empty)
e_wizard	info	<none>
e_wizard	returned	1
e_describe	display	:145
e_describe	listening	1
e_describe	entry	eml-describe-table.praat
e_describe	steps	0
e_describe	trail	Pause: Cannot start this tool
e_describe	final	Pause: Cannot start this tool
e_describe	state	refused
e_describe	objects	(objects window empty)
e_describe	info	<none>
e_describe	returned	1
e_normality	display	:145
e_normality	listening	1
e_normality	entry	eml-check-normality.praat
e_normality	steps	0
e_normality	trail	Pause: Cannot start this tool
e_normality	final	Pause: Cannot start this tool
e_normality	state	refused
e_normality	objects	(objects window empty)
e_normality	info	<none>
e_normality	returned	1
e_compare_paired	display	:145
e_compare_paired	listening	1
e_compare_paired	entry	eml-compare-paired.praat
e_compare_paired	steps	0
e_compare_paired	trail	Pause: Cannot start this tool
e_compare_paired	final	Pause: Cannot start this tool
e_compare_paired	state	refused
e_compare_paired	objects	(objects window empty)
e_compare_paired	info	<none>
e_compare_paired	returned	1
e_compare_k	display	:145
e_compare_k	listening	1
e_compare_k	entry	eml-compare-k-groups.praat
e_compare_k	steps	0
e_compare_k	trail	Pause: Cannot start this tool
e_compare_k	final	Pause: Cannot start this tool
e_compare_k	state	refused
e_compare_k	objects	(objects window empty)
e_compare_k	info	<none>
e_compare_k	returned	1
e_compare_kw	display	:145
e_compare_kw	listening	1
e_compare_kw	entry	eml-compare-kw.praat
e_compare_kw	steps	0
e_compare_kw	trail	Pause: Cannot start this tool
e_compare_kw	final	Pause: Cannot start this tool
e_compare_kw	state	refused
e_compare_kw	objects	(objects window empty)
e_compare_kw	info	<none>
e_compare_kw	returned	1
e_compare_twoway	display	:145
e_compare_twoway	listening	1
e_compare_twoway	entry	eml-compare-twoway.praat
e_compare_twoway	steps	0
e_compare_twoway	trail	Pause: Cannot start this tool
e_compare_twoway	final	Pause: Cannot start this tool
e_compare_twoway	state	refused
e_compare_twoway	objects	(objects window empty)
e_compare_twoway	info	<none>
e_compare_twoway	returned	1
e_correlate	display	:145
e_correlate	listening	1
e_correlate	entry	eml-correlate.praat
e_correlate	steps	0
e_correlate	trail	Pause: Cannot start this tool
e_correlate	final	Pause: Cannot start this tool
e_correlate	state	refused
e_correlate	objects	(objects window empty)
e_correlate	info	<none>
e_correlate	returned	1
e_regress	display	:145
e_regress	listening	1
e_regress	entry	eml-regress.praat
e_regress	steps	0
e_regress	trail	Pause: Cannot start this tool
e_regress	final	Pause: Cannot start this tool
e_regress	state	refused
e_regress	objects	(objects window empty)
e_regress	info	<none>
e_regress	returned	1
e_pairwise	display	:145
e_pairwise	listening	1
e_pairwise	entry	eml-pairwise.praat
e_pairwise	steps	0
e_pairwise	trail	Pause: Cannot start this tool
e_pairwise	final	Pause: Cannot start this tool
e_pairwise	state	refused
e_pairwise	objects	(objects window empty)
e_pairwise	info	<none>
e_pairwise	returned	1
e_graphs	display	:145
e_graphs	listening	1
e_graphs	entry	eml-graphs.praat
e_graphs	steps	0
e_graphs	trail	Pause: EML Graphs
e_graphs	final	Pause: EML Graphs
e_graphs	state	page
e_graphs	objects	(objects window empty)
e_graphs	info	<none>
e_graphs	returned	1
e_batch	display	:145
e_batch	listening	1
e_batch	entry	eml-batch-process.praat
e_batch	steps	0
e_batch	trail	Pause: Batch Voice Analysis
e_batch	final	Pause: Batch Voice Analysis
e_batch	state	page
e_batch	objects	(objects window empty)
e_batch	info	<none>
e_batch	returned	1
e_check_data	display	:145
e_check_data	listening	1
e_check_data	entry	eml-check-data.praat
e_check_data	steps	0
e_check_data	trail	Pause: EML — Check & repair data
e_check_data	final	Pause: EML — Check & repair data
e_check_data	state	page
e_check_data	objects	(objects window empty)
e_check_data	info	<none>
e_check_data	returned	1
e_record_start	display	:145
e_record_start	listening	1
e_record_start	entry	eml-record-start.praat
e_record_start	steps	0
e_record_start	trail	
e_record_start	final	<none>
e_record_start	state	spoke
e_record_start	objects	Table emlRecording_DO_NOT_REMOVE/Table emlRecordMeta
e_record_start	info	EML: recording started. Every EML analysis, figure and table edit from now on is added to one script. Finish with 'Stop recording and open' to read it in an editor, or 'Stop recording and save' to file it directly. WHAT GOES INTO IT, AND WHAT DOES NOT: Recorded — anything you do through an EML command: analyses, figures, saves, and changes you make in EML's own 'EML: Edit Table...' window. Not r...
e_record_start	returned	1
e_record_open	display	:145
e_record_open	listening	1
e_record_open	entry	eml-record-open.praat
e_record_open	steps	0
e_record_open	trail	
e_record_open	final	<none>
e_record_open	state	spoke
e_record_open	objects	(objects window empty)
e_record_open	info	------------------------------------------------------------ EML: nothing is being recorded. Run 'Record script' first, then any EML analysis or figure, then this command.
e_record_open	returned	1
e_record_save	display	:145
e_record_save	listening	1
e_record_save	entry	eml-record-save.praat
e_record_save	steps	0
e_record_save	trail	
e_record_save	final	<none>
e_record_save	state	spoke
e_record_save	objects	(objects window empty)
e_record_save	info	------------------------------------------------------------ EML: no recording is in progress. Run 'Record script' first, then the analyses and figures you want captured.
e_record_save	returned	1
e_create_demo	display	:145
e_create_demo	listening	1
e_create_demo	entry	eml-create-demo.praat
e_create_demo	steps	0
e_create_demo	trail	Pause: Create Demo Table
e_create_demo	final	Pause: Create Demo Table
e_create_demo	state	page
e_create_demo	objects	(objects window empty)
e_create_demo	info	<none>
e_create_demo	returned	1
e_edit_launch	display	:145
e_edit_launch	listening	1
e_edit_launch	entry	eml-edit-table-launch.praat
e_edit_launch	steps	0
e_edit_launch	trail	Pause: Cannot Open the Table Editor
e_edit_launch	final	Pause: Cannot Open the Table Editor
e_edit_launch	state	refused
e_edit_launch	objects	(objects window empty)
e_edit_launch	info	<none>
e_edit_launch	returned	1
e_edit_editor	display	:145
e_edit_editor	listening	1
e_edit_editor	entry	eml-edit-table-editor.praat
e_edit_editor	steps	0
e_edit_editor	trail	Pause: Cannot Open the Table Editor
e_edit_editor	final	Pause: Cannot Open the Table Editor
e_edit_editor	state	refused
e_edit_editor	objects	(objects window empty)
e_edit_editor	info	<none>
e_edit_editor	returned	1
w_indep_two	display	:145
w_indep_two	listening	1
w_indep_two	entry	eml-wizard.praat
w_indep_two	steps	4
w_indep_two	trail	Pause: EML Stats Wizard > Pause: Compare — Observation type > Pause: Compare independent — Design > Pause: No table selected > Pause: Two groups — Select columns
w_indep_two	final	Pause: Two groups — Select columns
w_indep_two	state	example
w_indep_two	objects	n/a
w_indep_two	info	<none>
w_indep_two	returned	1
w_indep_k	display	:145
w_indep_k	listening	1
w_indep_k	entry	eml-wizard.praat
w_indep_k	steps	4
w_indep_k	trail	Pause: EML Stats Wizard > Pause: Compare — Observation type > Pause: Compare independent — Design > Pause: No table selected > Pause: Three+ groups — Select columns
w_indep_k	final	Pause: Three+ groups — Select columns
w_indep_k	state	example
w_indep_k	objects	n/a
w_indep_k	info	<none>
w_indep_k	returned	1
w_within_two	display	:145
w_within_two	listening	1
w_within_two	entry	eml-wizard.praat
w_within_two	steps	4
w_within_two	trail	Pause: EML Stats Wizard > Pause: Compare — Observation type > Pause: Paired / repeated — how many conditions? > Pause: No table selected > Pause: Paired — Select columns
w_within_two	final	Pause: Paired — Select columns
w_within_two	state	example
w_within_two	objects	n/a
w_within_two	info	<none>
w_within_two	returned	1
w_within_k	display	:145
