case,site,statistic,value
g01,tukey,p:1-2,0.6513140199993772
g01,tukey,p:1-3,0.03494106287923826
g01,tukey,p:2-3,0.21148713865310798
g01,tukey,n.pairs,3
g01,tukey,output.chars,0
g01,anova,statistic,3.5286424997772796
g01,anova,p.value,0.040854047256573295
g01,anova,df1,2
g01,anova,df2,33
g01,anova,output.chars,0
g01,twoway,statistic:A,3.246784680366378
g01,twoway,statistic:B,0.005742489677756153
g01,twoway,ss.error,395.0812500000003
g01,twoway,output.chars,1062
g01,kw,statistic,7.442942942942949
g01,kw,p.value,0.024198334476538155
g01,kw,df,2
g01,kw,n,36
g01,kw,output.chars,0
g01,dunn,p:1-2,0.3326797591420297
g01,dunn,p:1-3,0.021239201977491767
g01,dunn,p:2-3,0.16929297361139733
g01,dunn,output.chars,0
g01,pairwiset,p:1-2,0.3864037638182569
g01,pairwiset,p:1-3,0.08187116568958655
g01,pairwiset,p:2-3,0.13014602833465416
g01,pairwiset,t:1-2,-0.8870607949419897
g01,pairwiset,output.chars,0
g01,pairwisew,p:1-2,0.2415237878288087
g01,pairwisew,p:1-3,0.04347752126726417
g01,pairwisew,p:2-3,0.10372922272235774
g01,pairwisew,output.chars,0
g01,scheffe,p:1-2,0.6770774548033129
g01,scheffe,f:1-2,0.39461449732025333
g01,scheffe,mse,12.117443181818185
g01,scheffe,output.chars,0
g01,bf,statistic,1.7236606364256193
g01,bf,p.value,0.19408740828696425
g01,bf,output.chars,0
g01,welch,statistic,3.0827940113472647
g01,welch,p.value,0.06678846766901743
g01,welch,df1,2
g01,welch,df2,21.21351373176285
g01,welch,output.chars,0
g01,gh,p:1-2,0.6549045778800955
g01,gh,n.pairs,3
g01,gh,output.chars,0
n01,tukey,refused,1
n01,tukey,output.chars,0
n01,anova,refused,1
n01,anova,output.chars,0
n01,twoway,refused,1
n01,twoway,output.chars,0
n01,kw,refused,1
n01,kw,output.chars,0
n01,dunn,refused,1
n01,dunn,output.chars,0
n01,pairwiset,refused,1
n01,pairwiset,output.chars,0
n01,pairwisew,refused,1
n01,pairwisew,output.chars,0
n01,scheffe,refused,1
n01,scheffe,output.chars,0
n01,bf,refused,1
n01,bf,output.chars,0
n01,welch,refused,1
n01,welch,output.chars,0
n01,gh,refused,1
n01,gh,output.chars,0
n02,tukey,refused,1
n02,tukey,output.chars,0
n02,anova,refused,1
n02,anova,output.chars,0
n02,twoway,refused,1
n02,twoway,output.chars,0
n02,kw,refused,1
n02,kw,output.chars,0
n02,dunn,refused,1
n02,dunn,output.chars,0
n02,pairwiset,refused,1
n02,pairwiset,output.chars,0
n02,pairwisew,refused,1
n02,pairwisew,output.chars,0
n02,scheffe,refused,1
n02,scheffe,output.chars,0
n02,bf,refused,1
n02,bf,output.chars,0
n02,welch,refused,1
n02,welch,output.chars,0
n02,gh,refused,1
n02,gh,output.chars,0
