grp,f2,grp3,y,x,c2,c3
G1,T1,H1,Singer_1,20.45,81.45,84.6
G1,T1,H2,Singer_2,20.9,82.9,85.2
G1,T1,H3,Singer_3,21.35,80.6,85.8
G1,T1,H1,Singer_4,21.8,82.05,83.4
G1,T1,H2,Singer_5,22.25,83.5,84
G1,T1,H3,Singer_6,22.7,81.2,84.6
G1,T1,H1,Singer_7,23.15,82.65,85.2
G1,T1,H2,Singer_8,23.6,84.1,82.8
G1,T1,H3,Singer_9,24.05,81.8,83.4
G1,T2,H1,Singer_10,24.5,83.25,84
G1,T2,H2,Singer_11,19.45,84.7,84.6
G1,T2,H3,Singer_12,19.9,82.4,82.2
G1,T2,H1,Singer_13,20.35,83.85,82.8
G1,T2,H2,Singer_14,20.8,85.3,83.4
G1,T2,H3,Singer_15,21.25,83,84
G1,T2,H1,Singer_16,21.7,84.45,81.6
G1,T2,H2,Singer_17,22.15,85.9,82.2
G1,T2,H3,Singer_18,22.6,83.6,82.8
G2,T1,H1,Singer_19,23.05,85.05,83.4
G2,T1,H2,Singer_20,23.5,86.5,81
G2,T1,H3,Singer_21,23.95,84.2,81.6
G2,T1,H1,Singer_22,18.9,85.65,82.2
G2,T1,H2,Singer_23,19.35,87.1,82.8
G2,T1,H3,Singer_24,19.8,84.8,80.4
G2,T1,H1,Singer_25,20.25,86.25,81
G2,T1,H2,Singer_26,20.7,87.7,81.6
G2,T1,H3,Singer_27,21.15,85.4,82.2
G2,T2,H1,Singer_28,21.6,86.85,79.8
G2,T2,H2,Singer_29,22.05,88.3,80.4
G2,T2,H3,Singer_30,22.5,86,81
G2,T2,H1,Singer_31,22.95,87.45,81.6
G2,T2,H2,Singer_32,23.4,88.9,79.2
G2,T2,H3,Singer_33,18.35,86.6,79.8
G2,T2,H1,Singer_34,18.8,88.05,80.4
G2,T2,H2,Singer_35,19.25,89.5,81
G2,T2,H3,Singer_36,19.7,87.2,78.6
