case,test,statistic,value
c01,twogroup,n1,18
c01,twogroup,n2,18
c01,twogroup,mean1,88.38333333333333
c01,twogroup,mean2,90.30833333333334
c01,twogroup,t,-1.5838075667123734
c01,twogroup,df,33.93000635843861
c01,twogroup,p.value,0.12251520525568771
c01,twogroup,output.chars,1967
c01,anova,statistic,3.5286424997772796
c01,anova,p.value,0.040854047256573295
c01,anova,df1,2
c01,anova,df2,33
c01,anova,ss.between,85.51625000000016
c01,anova,ss.within,399.8756250000002
c01,anova,n:H1,12
c01,anova,n:H2,12
c01,anova,n:H3,12
c01,anova,output.chars,2379
c01,kw,statistic,7.442942942942949
c01,kw,p.value,0.024198334476538155
c01,kw,df,2
c01,kw,n,36
c01,kw,output.chars,1935
c01,pairwise,adj.p.value:H1-H2,0.3864037638182569
c01,pairwise,t:H1-H2,-0.8870607949419897
c01,pairwise,adj.p.value:H1-H3,0.08187116568958655
c01,pairwise,t:H1-H3,-2.370160224430322
c01,pairwise,adj.p.value:H2-H3,0.13014602833465416
c01,pairwise,t:H2-H3,-1.949325655941765
c01,pairwise,output.chars,1874
c01,twoway,statistic:A,2.4085579841794633
c01,twoway,p.value:A,0.13050866989581067
c01,twoway,statistic:B,0.049154244575091086
c01,twoway,p.value:B,0.8259503454743415
c01,twoway,statistic:AB,0.5969374513366204
c01,twoway,p.value:AB,0.44541832945648174
c01,twoway,ss:A,33.350625
c01,twoway,ss:B,0.680625
c01,twoway,ss:AB,8.265625
c01,twoway,ss.error,443.0950000000003
c01,twoway,df.error,32
c01,twoway,output.chars,2024
c01,paired,n,36
c01,paired,n.excluded,0
c01,paired,statistic,93.83774847013571
c01,paired,df,35
c01,paired,p.value,1.2174344525882667e-43
c01,paired,output.chars,1770
c01,correlation,n,36
c01,correlation,n.excluded,0
c01,correlation,estimate,-0.17486036946004987
c01,correlation,p.value,0.30771840390871685
c01,correlation,rho,-0.11402831402831402
c01,correlation,output.chars,1511
c01,descriptive,n,36
c01,descriptive,n.excluded,0
c01,descriptive,mean,89.34583333333333
c01,descriptive,sd,3.7240219233664957
c01,descriptive,median,89.25
c01,descriptive,output.chars,1113
c01,regression,n,36
c01,regression,slope,-0.3892064302117885
c01,regression,intercept,97.6943112613762
c01,regression,r.squared,0.030576148807705143
c01,regression,p.value,0.30771840390871685
c01,regression,output.chars,1677
c01,normality,n,36
c01,normality,statistic,0.9627545267637954
c01,normality,p.value,0.26104985364817546
c01,normality,output.chars,1444
c01,rm,n,36
c01,rm,k,3
c01,rm,n.excluded,0
c01,rm,statistic,51.0796671473494
c01,rm,df1,2
c01,rm,df2,70
c01,rm,p.value,2.0934437081159422e-14
c01,rm,gg.epsilon,0.9614016802161872
c01,rm,output.chars,695
c01,friedman,n,36
c01,friedman,k,3
c01,friedman,statistic,42
c01,friedman,df,2
c01,friedman,p.value,7.582560427911903e-10
c01,friedman,output.chars,598
m01,twogroup,n1,17
m01,twogroup,n2,18
m01,twogroup,mean1,88.2735294117647
m01,twogroup,mean2,90.30833333333334
m01,twogroup,t,-1.633429776603421
m01,twogroup,df,32.95930941502873
m01,twogroup,p.value,0.1118966863962203
m01,twogroup,output.chars,1967
m01,anova,statistic,3.458272758658608
m01,anova,p.value,0.04367683222507429
m01,anova,df1,2
m01,anova,df2,32
m01,anova,ss.between,86.11810227272744
m01,anova,ss.within,398.4328977272729
m01,anova,n:H1,12
m01,anova,n:H2,12
m01,anova,n:H3,11
m01,anova,output.chars,2379
m01,kw,statistic,7.1789321789322
m01,kw,p.value,0.027613069396876813
m01,kw,df,2
m01,kw,n,35
m01,kw,output.chars,1935
m01,pairwise,adj.p.value:H1-H2,0.3864037638182569
m01,pairwise,t:H1-H2,-0.8870607949419897
m01,pairwise,adj.p.value:H1-H3,0.08619089245601216
m01,pairwise,t:H1-H3,-2.348746035077227
m01,pairwise,adj.p.value:H2-H3,0.14100715966328475
m01,pairwise,t:H2-H3,-1.921583709941409
m01,pairwise,output.chars,1874
m01,twoway,refused,1
m01,twoway,output.chars,0
m01,paired,n,35
m01,paired,n.excluded,1
m01,paired,statistic,91.22711198893265
m01,paired,df,34
m01,paired,p.value,3.1237122034369954e-42
m01,paired,output.chars,1819
m01,correlation,n,35
m01,correlation,n.excluded,1
m01,correlation,estimate,-0.1745943617108203
m01,correlation,p.value,0.3157965088237463
m01,correlation,rho,-0.11316526610644258
m01,correlation,output.chars,1588
m01,descriptive,n,35
m01,descriptive,n.excluded,1
m01,descriptive,mean,89.32
m01,descriptive,sd,3.775115892260794
m01,descriptive,median,89.2
m01,descriptive,output.chars,1235
m01,regression,n,35
m01,regression,slope,-0.38829797317693093
m01,regression,intercept,97.65010094742567
m01,regression,r.squared,0.030483191141208753
m01,regression,p.value,0.31579650882374455
m01,regression,output.chars,1701
m01,normality,n,35
m01,normality,statistic,0.9591813725073087
m01,normality,p.value,0.21606583719446543
m01,normality,output.chars,1468
m01,rm,n,35
m01,rm,k,3
m01,rm,n.excluded,1
m01,rm,statistic,51.56308537964822
m01,rm,df1,2
m01,rm,df2,68
m01,rm,p.value,2.3580028800162237e-14
m01,rm,gg.epsilon,0.9352093150436362
m01,rm,output.chars,872
m01,friedman,n,35
m01,friedman,k,3
m01,friedman,statistic,41.19999999999999
m01,friedman,df,2
m01,friedman,p.value,1.131185091771642e-09
m01,friedman,output.chars,777
r01,twogroup,refused,1
r01,twogroup,output.chars,0
r01,anova,refused,1
r01,anova,output.chars,0
r01,kw,refused,1
r01,kw,output.chars,0
r01,pairwise,refused,1
r01,pairwise,output.chars,0
r01,twoway,refused,1
r01,twoway,output.chars,0
r01,paired,refused,1
r01,paired,output.chars,0
r01,correlation,refused,1
r01,correlation,output.chars,0
r01,descriptive,refused,1
r01,descriptive,output.chars,0
r01,regression,refused,1
r01,regression,output.chars,0
r01,normality,refused,1
r01,normality,output.chars,0
r01,rm,refused,1
r01,rm,output.chars,0
r01,friedman,refused,1
r01,friedman,output.chars,0
r02,twogroup,refused,1
r02,twogroup,output.chars,0
r02,anova,refused,1
r02,anova,output.chars,0
r02,kw,refused,1
r02,kw,output.chars,0
r02,pairwise,refused,1
r02,pairwise,output.chars,0
r02,twoway,refused,1
r02,twoway,output.chars,0
r02,paired,refused,1
r02,paired,output.chars,0
r02,correlation,refused,1
r02,correlation,output.chars,0
r02,descriptive,refused,1
r02,descriptive,output.chars,0
r02,regression,refused,1
r02,regression,output.chars,0
r02,normality,refused,1
r02,normality,output.chars,0
r02,rm,refused,1
r02,rm,output.chars,0
r02,friedman,refused,1
r02,friedman,output.chars,0
r03,twogroup,refused,1
r03,twogroup,output.chars,0
r03,anova,refused,1
r03,anova,output.chars,0
r03,kw,refused,1
r03,kw,output.chars,0
r03,pairwise,refused,1
r03,pairwise,output.chars,0
r03,twoway,refused,1
r03,twoway,output.chars,0
r03,paired,refused,1
r03,paired,output.chars,0
r03,correlation,refused,1
r03,correlation,output.chars,0
r03,descriptive,refused,1
r03,descriptive,output.chars,0
r03,regression,refused,1
r03,regression,output.chars,0
r03,normality,refused,1
r03,normality,output.chars,0
r03,rm,refused,1
r03,rm,output.chars,0
r03,friedman,refused,1
r03,friedman,output.chars,0
r04,twogroup,refused,1
r04,twogroup,output.chars,0
r04,anova,refused,1
r04,anova,output.chars,0
r04,kw,refused,1
r04,kw,output.chars,0
r04,pairwise,refused,1
r04,pairwise,output.chars,0
r04,twoway,refused,1
r04,twoway,output.chars,0
r04,paired,refused,1
r04,paired,output.chars,0
r04,correlation,refused,1
r04,correlation,output.chars,0
r04,descriptive,refused,1
r04,descriptive,output.chars,0
r04,regression,refused,1
r04,regression,output.chars,0
r04,normality,refused,1
r04,normality,output.chars,0
r04,rm,refused,1
r04,rm,output.chars,0
r04,friedman,refused,1
r04,friedman,output.chars,0
