subject,group,condition,F0_Hz,jitter_pct,time_s
S01,Soprano,Pre,257.9530,1.1279,0.00
S01,Soprano,Post,270.1912,0.9212,1.00
S02,Soprano,Pre,252.5599,0.9467,0.00
S02,Soprano,Post,280.8953,1.1060,1.00
S03,Soprano,Pre,268.2950,1.0622,0.00
S03,Soprano,Post,275.1582,1.0463,1.00
S04,Soprano,Pre,246.6715,1.2138,0.00
S04,Soprano,Post,276.0511,1.1247,1.00
S05,Soprano,Pre,246.4691,0.5640,0.00
S05,Soprano,Post,264.8831,0.8830,1.00
S06,Soprano,Pre,262.4436,0.9885,0.00
S06,Soprano,Post,276.1678,0.8394,1.00
S07,Alto,Pre,212.4696,1.0985,0.00
S07,Alto,Post,216.7109,1.4294,1.00
S08,Alto,Pre,214.4529,1.2993,0.00
S08,Alto,Post,217.0373,0.8151,1.00
S09,Alto,Pre,207.2476,0.9734,0.00
S09,Alto,Post,227.0566,1.0621,1.00
S10,Alto,Pre,206.4212,0.7608,0.00
S10,Alto,Post,217.8353,1.3052,1.00
S11,Alto,Pre,203.5364,1.0612,0.00
S11,Alto,Post,225.4122,0.6276,1.00
S12,Alto,Pre,210.3878,1.3266,0.00
S12,Alto,Post,205.8851,0.9196,1.00
S13,Tenor,Pre,139.1509,0.7957,0.00
S13,Tenor,Post,155.9791,0.9844,1.00
S14,Tenor,Pre,128.2827,1.2070,0.00
S14,Tenor,Post,157.3547,1.2365,1.00
S15,Tenor,Pre,151.5248,1.0906,0.00
S15,Tenor,Post,152.9542,0.6752,1.00
S16,Tenor,Pre,144.9235,0.8471,0.00
S16,Tenor,Post,148.3784,0.6838,1.00
S17,Tenor,Pre,132.2591,0.8672,0.00
S17,Tenor,Post,162.3107,0.4921,1.00
S18,Tenor,Pre,128.3384,1.0598,0.00
S18,Tenor,Post,163.5468,1.1446,1.00
