subject,group,F0_Hz,jitter_pct
S01,Control,116.4093,6.3011
S02,Control,312.5341,1.2899
S03,Control,117.7048,0.3545
S04,Control,114.3451,0.1021
S05,Control,131.4985,0.4970
S06,Control,107.2309,0.0494
S07,Control,133.1772,0.0475
S08,Control,100.8557,0.5912
S09,Control,166.9102,2.0141
S10,Control,119.1195,0.5305
S11,Control,100.3023,0.0857
S12,Control,101.2280,0.3758
S13,Control,105.5399,0.1055
S14,Control,112.4700,0.0153
S15,Control,136.9573,0.2904
S16,Trained,120.4492,6.3661
S17,Trained,321.7208,0.3463
S18,Trained,106.5191,0.3056
S19,Trained,208.9440,3.0280
S20,Trained,124.6070,0.9170
S21,Trained,105.2186,0.1894
S22,Trained,101.4562,0.1706
S23,Trained,110.2298,0.7268
S24,Trained,109.7719,0.9373
S25,Trained,137.5869,1.5855
S26,Trained,104.7073,0.0003
S27,Trained,112.6971,1.2055
S28,Trained,110.1308,1.9651
S29,Trained,119.8556,0.0379
S30,Trained,106.2881,0.7537
