ordinal	step	dialog	width	height	screen_h	clamped
13	1	Batch Voice Analysis	524	974	2000	no
1	1	EML Stats Wizard	524	712	2000	no
1	2	Compare — Observation type	555	204	2000	no
1	3	Compare independent — Design	586	204	2000	no
1	4	Two groups — Select columns	524	467	2000	no
2	1	Describe Table Column	524	243	2000	no
2	2	Analysis complete	524	113	2000	no
2	3	Describe Table Column	524	243	2000	no
2	4	Analysis complete	524	113	2000	no
3	1	Check Normality	524	432	2000	no
3	2	Normality assessment complete	524	187	2000	no
3	3	Check Normality	524	432	2000	no
3	4	Normality assessment complete	524	187	2000	no
4	1	Compare Two Groups	540	339	2000	no
4	2	Cannot run this analysis	524	750	2000	no
4	3	Compare Two Groups	540	339	2000	no
4	4	Cannot run this analysis	524	750	2000	no
5	1	Compare Paired Observations	524	472	2000	no
5	2	Analysis complete	524	113	2000	no
5	3	Compare Paired Observations	524	472	2000	no
5	4	Analysis complete	524	113	2000	no
6	1	Compare k Groups (ANOVA)	524	339	2000	no
6	2	Analysis complete	524	113	2000	no
7	1	Compare K Groups (Kruskal-Wallis)	524	349	2000	no
7	2	Analysis Complete	524	113	2000	no
8	1	Two-Way ANOVA	524	307	2000	no
8	2	Analysis complete	524	113	2000	no
9	1	Correlate Two Columns	524	531	2000	no
9	2	Analysis complete	524	113	2000	no
10	1	Simple Linear Regression	524	477	2000	no
10	2	Analysis complete	524	113	2000	no
11	1	Pairwise Comparisons	533	403	2000	no
11	2	Analysis complete	524	113	2000	no
12	1	EML Graphs	524	288	2000	no
12	2	Violin Plot -- Column Mapping	568	923	2000	no
14	1	EML — Check & repair data	580	270	2000	no
15	0	(no dialog)			2000	NO-DIALOG
16	0	(no dialog)			2000	NO-DIALOG
17	0	(no dialog)			2000	NO-DIALOG
18	1	Create Demo Table	639	219	2000	no
1	1	EML Stats Wizard	524	712	2000	no
1	2	Compare — Observation type	555	204	2000	no
1	3	Compare independent — Design	586	204	2000	no
1	4	Two groups — Select columns	524	467	2000	no
1	5	Cannot run this analysis	524	413	2000	no
1	6	Two groups — Select columns	524	467	2000	no
