leg	key	value
1	type	1
1	recording	0
1	returned	1
1	drawnMinX	0
1	drawnMaxX	6.0000
1	drawnMinY	0
1	drawnMaxY	4.0000
1	png	1
2	type	2
2	recording	0
2	returned	1
2	drawnMinX	0
2	drawnMaxX	6.0000
2	drawnMinY	0
2	drawnMaxY	4.0000
2	png	1
3	type	3
3	recording	0
3	returned	1
3	drawnMinX	0
3	drawnMaxX	6.0000
3	drawnMinY	0
3	drawnMaxY	4.0000
3	png	1
4	type	4
4	recording	0
4	returned	1
4	drawnMinX	0
4	drawnMaxX	6.0000
4	drawnMinY	0
4	drawnMaxY	4.0000
4	png	1
5	type	5
5	recording	0
5	returned	1
5	drawnMinX	0
5	drawnMaxX	6.0000
5	drawnMinY	0
5	drawnMaxY	4.0000
5	png	1
6	type	6
6	recording	0
6	returned	1
6	drawnMinX	0
6	drawnMaxX	6.0000
6	drawnMinY	0
6	drawnMaxY	4.0000
6	png	1
7	type	7
7	recording	0
7	returned	1
7	drawnMinX	0
7	drawnMaxX	6.0000
7	drawnMinY	0
7	drawnMaxY	4.0000
7	png	1
9	type	9
9	recording	0
9	returned	1
9	drawnMinX	0
9	drawnMaxX	6.0000
9	drawnMinY	0
9	drawnMaxY	4.0000
9	png	1
10	type	10
10	recording	0
10	returned	1
10	drawnMinX	0
10	drawnMaxX	6.0000
10	drawnMinY	0
10	drawnMaxY	4.0000
10	png	1
11	type	11
11	recording	0
11	returned	1
11	drawnMinX	0
11	drawnMaxX	6.0000
11	drawnMinY	0
11	drawnMaxY	4.0000
11	png	1
12	type	12
12	recording	0
12	returned	1
12	drawnMinX	0
12	drawnMaxX	6.0000
12	drawnMinY	0
12	drawnMaxY	4.0000
12	png	1
13	type	13
13	recording	0
13	returned	1
13	drawnMinX	0
13	drawnMaxX	6.0000
13	drawnMinY	0
13	drawnMaxY	4.0000
13	png	1
5_rec	type	5
5_rec	recording	1
5_rec	returned	1
5_rec	drawnMinX	0
5_rec	drawnMaxX	6.0000
5_rec	drawnMinY	0
5_rec	drawnMaxY	4.0000
5_rec	png	1
5_rec	steps	1
7_rec	type	7
7_rec	recording	1
7_rec	returned	1
7_rec	drawnMinX	0
7_rec	drawnMaxX	6.0000
7_rec	drawnMinY	0
7_rec	drawnMaxY	4.0000
7_rec	png	1
7_rec	steps	1
8	type	8
8	recording	0
8	returned	1
8	drawnMinX	0
8	drawnMaxX	6.0000
8	drawnMinY	0
8	drawnMaxY	4.0000
8	png	1
8_rec	type	8
8_rec	recording	1
8_rec	returned	1
8_rec	drawnMinX	0
8_rec	drawnMaxX	6.0000
8_rec	drawnMinY	0
8_rec	drawnMaxY	4.0000
8_rec	png	1
8_rec	steps	1
