praat_version	Praat 6.6.30 (June 30 2026)
source_tree	/home/claude/repo
leg	axis_record
record_resolved_min	160.0000
record_resolved_max	340.0000
leg	--shell--
recorded_axis_args	axisYMin, axisYMax
recorded_axis_block_min	0.0
recorded_axis_block_max	0.0
recorded_result_note	Axis resolved to 160.0000 .. 340.0000 over 3 groups on the recorded data; auto adapts to other data.
replay_same_min	160.0000
replay_same_max	340.0000
replay_wide_min	900.0000
replay_wide_max	1800.0000
leg	axis_record_explicit
explicit_resolved_min	150.0000
explicit_resolved_max	400.0000
leg	--shell--
recorded_axis_args_explicit	axisYMin, axisYMax
recorded_axis_block_min_explicit	150
recorded_axis_block_max_explicit	400
leg	axis_native_wide
native_wide_min	900.0000
native_wide_max	1800.0000
leg	name_violin
widest_label_mm	10.033
shift_inch	0.1048
room_inch	0.2916
clamped	0
leg	name_box
widest_label_mm	10.033
shift_inch	0.1048
room_inch	0.2916
clamped	0
leg	name_bar
widest_label_mm	10.033
shift_inch	0.1048
room_inch	0.2916
clamped	0
leg	name_gviolin
widest_label_mm	10.033
shift_inch	0.1048
room_inch	0.2916
clamped	0
leg	name_gbox
widest_label_mm	10.033
shift_inch	0.1048
room_inch	0.2916
clamped	0
leg	name_spaghetti
widest_label_mm	10.033
shift_inch	0.1048
room_inch	0.2916
clamped	0
leg	name_hist
widest_label_mm	0
shift_inch	0
room_inch	0.2916
clamped	0
leg	name_plain
widest_label_mm	0
shift_inch	0
room_inch	0.2916
clamped	0
leg	posthoc_tukey
posthoc_label	Tukey HSD (already family-wise)
posthoc_subtitle	Tukey HSD (already family-wise) · Upper: adjusted p · Lower: Cohen's d (magnitude)
posthoc_subtitle_mm	96.18
posthoc_canvas_mm	152.40
leg	posthoc_dunn
posthoc_label	Dunn's test (holm)
posthoc_subtitle	Dunn's test (holm) · Upper: adjusted p · Lower: rank-biserial r (magnitude)
posthoc_subtitle_mm	83.82
posthoc_canvas_mm	152.40
leg	info_degenerate
leg	info_tiny
leg	info_real
csv_anova	real,One-way ANOVA,,omnibus,data_column,val
csv_anova	real,One-way ANOVA,,omnibus,group_column,grp
csv_anova	real,One-way ANOVA,,omnibus,F,185.96938775510188
csv_anova	real,One-way ANOVA,,omnibus,df1,2
csv_anova	real,One-way ANOVA,,omnibus,df2,27
csv_anova	real,One-way ANOVA,,omnibus,p,1.6262092862780552e-16
csv_anova	real,One-way ANOVA,,omnibus,eta_squared,0.9323204419889503
csv_anova	real,One-way ANOVA,,omnibus,effect_label,large effect
csv_anova	real,One-way ANOVA,,omnibus,ss_between,405
csv_anova	real,One-way ANOVA,,omnibus,ss_within,29.400000000000027
csv_anova	real,One-way ANOVA,,omnibus,ms_between,202.5
csv_anova	real,One-way ANOVA,,omnibus,ms_within,1.08888888888889
csv_anova	real,One-way ANOVA,,omnibus,n_groups,3
csv_anova	real,Tukey HSD,G1 vs G2,contrast,q,13.637059351454832
csv_anova	real,Tukey HSD,G1 vs G2,contrast,df,27
csv_anova	real,Tukey HSD,G1 vs G2,contrast,p_adjusted,9.136669198994696e-10
csv_anova	real,Tukey HSD,G1 vs G2,contrast,cohens_d,-4.31241681374959
csv_anova	real,Tukey HSD,G1 vs G2,contrast,effect_label,large effect
csv_anova	real,Tukey HSD,G1,group,n,10
