grp,y
sym,-11.500000
sym,-10.500000
sym,-9.500000
sym,-8.500000
sym,-7.500000
sym,-6.500000
sym,-5.500000
sym,-4.500000
sym,-3.500000
sym,-2.500000
sym,-1.500000
sym,-0.500000
sym,0.500000
sym,1.500000
sym,2.500000
sym,3.500000
sym,4.500000
sym,5.500000
sym,6.500000
sym,7.500000
sym,8.500000
sym,9.500000
sym,10.500000
sym,11.500000
skw,1.000000
skw,1.395612
skw,1.947734
skw,2.718282
skw,3.793668
skw,5.294490
skw,7.389056
skw,10.312259
skw,14.391916
skw,20.085537
skw,28.031625
skw,39.121284
skw,54.598150
skw,76.197857
skw,106.342675
skw,148.413159
skw,207.127249
skw,289.069362
skw,403.428793
skw,563.030237
skw,785.771994
skw,1096.633158
skw,1530.474862
skw,2135.949733
