1	160	162	8	8	clicked	EML Table Editor — 
2	167	169	12	12	clicked2	Add Column
3	187	190	8	8	clicked	EML Table Editor — 
4	223	236	8	8	clicked	EML Table Editor — 
5	267	275	16	16	-	Nothing was written
6	387	398	8	8	.clicked	Find / Replace
7	479	481	20	20	-	Find
8	496	499	24	24	-	Rep Nxt
9	503	506	24	24	-	Found
10	565	567	16	16	-	Rep All
11	583	595	4	4	.clicked	Table Structure
12	611	614	12	12	.clicked2	Insert Row
13	628	630	16	16	-	Cannot Delete
14	632	635	16	16	.clicked2	Delete Row
15	658	660	16	16	.clicked2	Add Column
16	688	692	16	16	.clicked2	Insert Column
17	736	741	16	16	.clicked2	Delete Column
18	761	763	16	16	-	Cannot Rename
19	779	785	20	20	.clicked2	Rename Column
20	1136	1154	4	4	.clicked	Cannot Open the Table Editor
21	1187	1213	4	4	.clicked	Cannot Use That Column Name
22	1244	1265	4	4	.clicked	Cannot Delete Column
