leg	key	value
rig	src	/home/claude/repo/plugin_EML_StatsGraphs
rig	praat	Praat 6.6.30 (June 30 2026)
pairwise_welch_wizard	returned	0
pairwise_welch_wizard	complete	1
pairwise_welch_menu_off	returned	0
pairwise_welch_menu_off	complete	1
pairwise_welch_menu_on	returned	0
pairwise_welch_menu_on	complete	1
pairwise_student_wizard	returned	0
pairwise_student_wizard	complete	1
pairwise_student_menu_off	returned	0
pairwise_student_menu_off	complete	1
pairwise_student_menu_on	returned	0
pairwise_student_menu_on	complete	1
pairwise_scheffe_wizard	returned	0
pairwise_scheffe_wizard	complete	1
pairwise_scheffe_menu_off	returned	0
pairwise_scheffe_menu_off	complete	1
pairwise_scheffe_menu_on	returned	0
pairwise_scheffe_menu_on	complete	1
pairwise_wilcoxon_wizard	returned	0
pairwise_wilcoxon_wizard	complete	1
pairwise_wilcoxon_menu_off	returned	0
pairwise_wilcoxon_menu_off	complete	1
pairwise_wilcoxon_menu_on	returned	0
pairwise_wilcoxon_menu_on	complete	1
rmanova_wizard	returned	0
rmanova_wizard	complete	1
rmanova_menu_off	returned	0
rmanova_menu_off	complete	1
rmanova_menu_on	returned	0
rmanova_menu_on	complete	1
friedman_wizard	returned	0
friedman_wizard	complete	1
friedman_menu_off	returned	0
friedman_menu_off	complete	1
friedman_menu_on	returned	0
friedman_menu_on	complete	1
descriptive_wizard	returned	0
descriptive_wizard	complete	1
descriptive_menu_off	returned	0
descriptive_menu_off	complete	1
descriptive_menu_on	returned	0
descriptive_menu_on	complete	1
