subject,voice_type,task,SPL_dB
Soprano_1,Soprano,Speech,89.64724663636248
Soprano_2,Soprano,Speech,89.21124459318925
Soprano_3,Soprano,Speech,88.37588180567914
Soprano_4,Soprano,Speech,92.57129416789886
Soprano_5,Soprano,Speech,88.15329635418824
Soprano_6,Soprano,Speech,86.0980557061649
Soprano_7,Soprano,Speech,94.32221480678271
Soprano_8,Soprano,Speech,90.6019533581632
Soprano_9,Soprano,Speech,86.9616069511911
Soprano_10,Soprano,Speech,92.0155241912297
Soprano_11,Soprano,Speech,92.40776656458004
Soprano_12,Soprano,Speech,84.7339802653152
Soprano_1,Soprano,Singing,98.67351915689764
Soprano_2,Soprano,Singing,101.73921640809257
Soprano_3,Soprano,Singing,102.03187012093674
Soprano_4,Soprano,Singing,101.80014007494746
Soprano_5,Soprano,Singing,102.32565002209502
Soprano_6,Soprano,Singing,102.35635318651755
Soprano_7,Soprano,Singing,102.30979745442883
Soprano_8,Soprano,Singing,99.50514595014786
Soprano_9,Soprano,Singing,105.07749339251873
Soprano_10,Soprano,Singing,104.0737454387664
Soprano_11,Soprano,Singing,98.79027404505126
Soprano_12,Soprano,Singing,98.49255771893752
Alto_1,Alto,Speech,85.47922130878901
Alto_2,Alto,Speech,82.8341521611561
Alto_3,Alto,Speech,84.19187790450616
Alto_4,Alto,Speech,84.88608821357775
Alto_5,Alto,Speech,84.33511486445342
Alto_6,Alto,Speech,84.33035905408113
Alto_7,Alto,Speech,84.01201307137134
Alto_8,Alto,Speech,90.42519152102125
Alto_9,Alto,Speech,83.44842300202164
Alto_10,Alto,Speech,83.53668165455247
Alto_11,Alto,Speech,79.05756162160078
Alto_12,Alto,Speech,84.60289445328002
Alto_1,Alto,Singing,89.55215024999673
Alto_2,Alto,Singing,94.86958144515253
Alto_3,Alto,Singing,93.88578036749459
Alto_4,Alto,Singing,96.8812470144277
Alto_5,Alto,Singing,97.1198013636722
Alto_6,Alto,Singing,95.5056332981876
Alto_7,Alto,Singing,94.45712524918831
Alto_8,Alto,Singing,90.85100127790272
Alto_9,Alto,Singing,95.43394514950911
Alto_10,Alto,Singing,94.67633916068134
Alto_11,Alto,Singing,90.5140491386046
Alto_12,Alto,Singing,93.67325589969722
