subject,voice_type,task,SPL_dB,.fitted,.resid,.std.resid,.hat
Soprano_1,Soprano,Speech,89.64724663636248,89.59167211672873,0.05557451963375115,0.02305925726107208,0.08333333333333333
Soprano_2,Soprano,Speech,89.21124459318925,89.59167211672873,-0.38042752353948117,-0.15784888816496165,0.08333333333333333
Soprano_3,Soprano,Speech,88.37588180567914,89.59167211672873,-1.215790311049588,-0.5044617882938052,0.08333333333333333
Soprano_4,Soprano,Speech,92.57129416789886,89.59167211672873,2.979622051170125,1.2363196636065563,0.08333333333333333
Soprano_5,Soprano,Speech,88.15329635418824,89.59167211672873,-1.4383757625404883,-0.5968180555602778,0.08333333333333333
Soprano_6,Soprano,Speech,86.0980557061649,89.59167211672873,-3.493616410563831,-1.4495887704222155,0.08333333333333333
Soprano_7,Soprano,Speech,94.32221480678271,89.59167211672873,4.73054269005398,1.9628204003079,0.08333333333333333
Soprano_8,Soprano,Speech,90.6019533581632,89.59167211672873,1.0102812414344697,0.41919093868558666,0.08333333333333333
Soprano_9,Soprano,Speech,86.9616069511911,89.59167211672873,-2.63006516553763,-1.0912797747096383,0.08333333333333333
Soprano_10,Soprano,Speech,92.0155241912297,89.59167211672873,2.423852074500971,1.0057168090168616,0.08333333333333333
Soprano_11,Soprano,Speech,92.40776656458004,89.59167211672873,2.816094447851313,1.1684679736762495,0.08333333333333333
Soprano_12,Soprano,Speech,84.7339802653152,89.59167211672873,-4.857691851413534,-2.0155777654033042,0.08333333333333333
Soprano_1,Soprano,Singing,98.67351915689764,101.43131358077812,-2.7577944238804832,-1.144277836542728,0.08333333333333333
Soprano_2,Soprano,Singing,101.73921640809257,101.43131358077812,0.3079028273144502,0.12775657897263093,0.08333333333333333
Soprano_3,Soprano,Singing,102.03187012093674,101.43131358077812,0.600556540158621,0.24918591920543917,0.08333333333333333
Soprano_4,Soprano,Singing,101.80014007494746,101.43131358077812,0.36882649416934044,0.15303533111575476,0.08333333333333333
Soprano_5,Soprano,Singing,102.32565002209502,101.43131358077812,0.894336441316895,0.37108254311843863,0.08333333333333333
Soprano_6,Soprano,Singing,102.35635318651755,101.43131358077812,0.9250396057394283,0.3838220534518436,0.08333333333333333
Soprano_7,Soprano,Singing,102.30979745442883,101.43131358077812,0.8784838736507083,0.3645049165645395,0.08333333333333333
Soprano_8,Soprano,Singing,99.50514595014786,101.43131358077812,-1.9261676306302604,-0.7992150938121363,0.08333333333333333
Soprano_9,Soprano,Singing,105.07749339251873,101.43131358077812,3.646179811740609,1.512891138837523,0.08333333333333333
Soprano_10,Soprano,Singing,104.0737454387664,101.43131358077812,2.642431857988271,1.0964110245084167,0.08333333333333333
