subject,group,F0_Hz,jitter_pct
S1,Control,139.62763692245213,0.9585639244188252
S2,Control,124.54879394509061,0.8347668518522088
S3,Control,125.49817230679689,0.7649989112121287
S4,Control,126.00524471823957,0.36442587707906327
S5,Control,138.1674487101797,0.5060299655844887
S6,Control,134.44453310108182,0.6607954013964772
S7,Control,117.48409884431129,0.7563555638117045
S8,Control,120.4647887770374,0.6097131198301492
S9,Control,108.71558820799255,1.3981849387186929
S10,Control,119.10761973620099,1.3841348032510954
S11,Control,124.52074902250769,0.9545709293473312
S12,Control,147.01373832658982,0.2700222035467172
S13,Control,160.12952611682113,0.6878398241029708
S14,Control,115.24493856694164,0.4902610967551565
S15,Control,130.12107594169893,1.0480341679053937
S16,Control,120.24566391337032,1.0108806550158385
S17,Control,126.15392205310988,0.7221942149228877
S18,Control,106.08764084479972,0.6944579752199855
S19,Control,114.52589821549618,0.7008127332395296
S20,Control,148.66522621175665,0.7024661424580374
S21,Patient,159.1793692510696,2.4759293386609027
S22,Patient,127.24963962716767,1.7111748411150107
S23,Patient,181.68151181609971,3.122740853701698
S24,Patient,122.87330983195957,3.000663345815713
S25,Patient,132.19301719719877,1.4413733308826928
S26,Patient,137.05249732225894,2.002573550554427
S27,Patient,175.1912668941648,1.49484148520706
S28,Patient,116.6491310611487,2.7950900622338173
S29,Patient,158.68934831822762,2.8697523414159467
S30,Patient,164.3682702813057,1.0996220495982147
S31,Patient,120.9319373990701,1.6490383251680671
S32,Patient,172.44936932943594,0.1
S33,Patient,144.2840297698885,3.0392918336734454
S34,Patient,167.6693923973087,1.1412933918575714
S35,Patient,120.16051150494435,2.101406896908867
S36,Patient,89.74545301565144,2.669291169199564
S37,Patient,137.25190837602784,3.8824638821712547
S38,Patient,120.72543207199067,1.7095249733605395
S39,Patient,130.20837992563844,1.7503236112764549
S40,Patient,79.49443247030723,3.594190383733218
