singer,voice_type,SPL_dB,vibrato_rate_Hz
Singer_1,Soprano,93.89029513029249,6.067847734055152
Singer_2,Soprano,86.03401590830809,6.601484814021258
Singer_3,Soprano,95.96112614799975,6.689288026846217
Singer_4,Soprano,95.07377132829075,5.0149424866413845
Singer_5,Soprano,94.14089232988171,5.418255143111299
Singer_6,Soprano,92.57483546228805,6.063712708829383
Singer_7,Soprano,96.29177359361358,6.571413157304015
Singer_8,Soprano,88.90036681024098,5.608231781128361
Singer_9,Soprano,87.16428862882461,5.69753361474963
Singer_10,Soprano,84.01730360898844,5.526599327465856
Singer_11,Soprano,93.96271350664196,5.748885903303331
Singer_12,Soprano,88.1112334071802,5.5519619166810195
Singer_13,Soprano,97.24161404755543,5.2975177885254965
Singer_14,Soprano,87.55941867195598,6.577272577087626
Singer_15,Soprano,99.51179164595364,5.7526203746926035
Singer_16,Mezzo,85.73273086932589,5.475545085837676
Singer_17,Mezzo,80.27748857382234,4.83525338975554
Singer_18,Mezzo,92.5165952121566,5.71886098382562
Singer_19,Mezzo,83.60717142833947,6.8605280250883975
Singer_20,Mezzo,90.01147949300949,4.714993025509727
Singer_21,Mezzo,87.99845774687935,5.919016123176114
Singer_22,Mezzo,85.33511264951736,5.336477943377972
Singer_23,Mezzo,91.94415429351743,5.423350000635208
Singer_24,Mezzo,86.19029709227752,5.030745315887909
Singer_25,Mezzo,86.90485801637656,6.049357806808094
Singer_26,Mezzo,89.28492844306136,4.7930737395296426
Singer_27,Mezzo,93.21036064021777,5.058670710845505
Singer_28,Mezzo,79.63564692447855,5.841185121475545
Singer_29,Mezzo,90.22342242754843,4.968330963315563
Singer_30,Mezzo,83.78086735128672,6.80909881947647
Singer_31,Alto,89.5419446940335,4.963123110943825
Singer_32,Alto,86.45429501754003,4.858408997201291
Singer_33,Alto,86.55641630674067,4.228747961017832
Singer_34,Alto,81.46852891473692,5.2308925661989765
Singer_35,Alto,82.1553803195722,5.6074244299749685
Singer_36,Alto,84.66757847742272,5.2125633708880725
Singer_37,Alto,84.99504446770584,5.547529870801728
Singer_38,Alto,80.88272475829166,5.540253821310409
Singer_39,Alto,83.01893394504053,5.888023874861213
Singer_40,Alto,83.76081147705851,4.540860420313021
Singer_41,Alto,79.32680168008702,5.562111444835806
Singer_42,Alto,82.13062442213905,5.504655104092887
Singer_43,Alto,89.15719220965858,5.091833006671985
Singer_44,Alto,79.05818833683452,5.006848973104553
Singer_45,Alto,89.27977871417883,5.201560725728137
