case,k,n_total,shape
c01,3,36,balanced-homoscedastic-k3
c02,3,45,balanced-var10to1-k3
c03,3,45,unbalanced6to1-heteroscedastic-k3
c04,2,20,k2-balanced-heteroscedastic
c05,2,25,k2-unbalanced-heteroscedastic
c06,5,65,k5-unbalanced-heteroscedastic
c07,3,36,offset1e6-balanced-k3
c08,3,45,skewed-exponential-k3
c09,2,20,k2-one-flat-group
r01,3,13,singleton-group
r02,3,24,zero-variance-group
r03,9,9,identifier-column
r04,1,8,single-group
r05,3,12,all-constant
r06,3,12,non-numeric-data
r07,2,2,too-few-rows
r08,2,6,missing-data-column

