case,test,statistic,value
c01,bf,statistic,1.1669738692134857
c01,bf,df1,2
c01,bf,df2,33
c01,bf,p.value,0.3238242208280523
c01,bf,ss.between,4.430021497295976
c01,bf,ss.within,62.63666790983781
c01,bf,median:G1,12.180667251796917
c01,bf,meandev:G1,0.9742146133105999
c01,bf,median:G2,12.180799293692855
c01,bf,meandev:G2,1.7988216284845382
c01,bf,median:G3,12.82958188063284
c01,bf,meandev:G3,1.5957312659349763
c01,welch,statistic,2.5224139815810305
c01,welch,df1,2
c01,welch,df2,20.639316241108126
c01,welch,p.value,0.1046993999671007
c01,welch,weighted.mean,12.291073383224886
c01,welch,sum.weights,11.222945361388398
c01,welch,var:G1,1.8785895553209822
c01,welch,var:G2,6.359959168310382
c01,welch,var:G3,4.070045852000876
c01,gh,n.undefined,0
c01,gh,n.pairs,3
c01,gh,q:G1-G2,1.6603230885553322
c01,gh,df:G1-G2,16.976840492124108
c01,gh,se:G1-G2,0.5858949252934695
c01,gh,estimate:G1-G2,-0.972774871932149
c01,gh,adj.p.value:G1-G2,0.4839567800599268
c01,gh,q.crit:G1-G2,3.6284227942725034
c01,gh,q:G1-G3,3.111508438162128
c01,gh,df:G1-G3,19.371040616656433
c01,gh,se:G1-G3,0.4978552085078661
c01,gh,estimate:G1-G3,-1.549080682255191
c01,gh,adj.p.value:G1-G3,0.09635241888897461
c01,gh,q.crit:G1-G3,3.5870559035804006
c01,gh,q:G2-G3,0.8742111881519722
c01,gh,df:G2-G3,20.988312081901356
c01,gh,se:G2-G3,0.6592295067068594
c01,gh,estimate:G2-G3,-0.5763058103230421
c01,gh,adj.p.value:G2-G3,0.8118738435540293
c01,gh,q.crit:G2-G3,3.5647724258567486
c01,gh,ms.within,NA
c01,gh,df.within,NA
c01,gh,q.critical,NA
c02,bf,statistic,10.46934407865142
c02,bf,df1,2
c02,bf,df2,42
c02,bf,p.value,0.00020462734996336913
c02,bf,ss.between,32.94388013266139
c02,bf,ss.within,66.08069021216126
c02,bf,median:G1,9.889224010308943
c02,bf,meandev:G1,0.8300567453605727
c02,bf,median:G2,10.527889257400869
c02,bf,meandev:G2,0.7183750555851405
c02,bf,median:G3,13.976094708415076
c02,bf,meandev:G3,2.5866820141954876
c02,welch,statistic,7.89646078358038
c02,welch,df1,2
c02,welch,df2,25.466557815469177
c02,welch,p.value,0.002146331936592551
c02,welch,weighted.mean,10.598738792049241
c02,welch,sum.weights,33.85109599217754
c02,welch,var:G1,1.0170633105045634
c02,welch,var:G2,0.8457204764930396
c02,welch,var:G3,10.977792575819239
c02,gh,n.undefined,0
c02,gh,n.pairs,3
