grp,y
All,34.4
All,19
All,18.5
All,17.1
All,13.6
All,16
All,15.7
All,27.2
All,24
All,17.2
All,27.8
All,21.7
All,18.7
All,43.3
All,27.7
All,12.6
All,15.2
All,35.6
All,13.9
All,15.9
All,22
All,20.9
All,24.5
All,28.2
All,16.2
All,33.6
All,30.4
All,16.9
All,13.5
All,15.3
All,10.4
All,33.5
All,20.5
All,18.4
All,26.1
All,14.8
All,8.5
All,27.4
All,17.5
All,20
All,26
All,57
All,21.3
All,27.1
All,18.2
All,22.2
All,17
All,20.4
All,27.9
All,21.8
All,15.8
All,19.5
All,37.2
All,16.7
All,19.2
All,17.7
All,28.5
All,17.6
All,22.3
All,13.1
