grp,y
All,35.4
All,10.9
All,29.4
All,27.4
All,16.9
All,3.5
All,10.8
All,12.7
All,4.4
All,18.8
All,134.2
All,18.1
All,14.7
All,17.9
All,92.7
All,11.2
All,86.5
All,13.1
All,24.3
All,8.9
All,9.5
All,35.5
All,9.4
All,20.2
All,28.5
All,24.1
All,21
All,14.9
All,14.3
All,20.3
All,11.4
All,31.1
All,44.4
All,31.4
All,59.1
All,54.1
All,41.4
All,22.6
All,41.8
All,16.8
All,5.5
All,29.5
All,44.1
All,4
All,12.9
All,30.8
All,47.7
All,28.1
All,38.4
All,13.4
All,16
All,5.7
All,35.9
All,22.8
All,23.3
All,22.9
All,21.7
All,21.6
All,14.5
All,9.3
