case,site,statistic,value
d01_skew,analysis,n,18
d01_skew,analysis,n.excluded,0
d01_skew,analysis,mean,22.933333333333334
d01_skew,analysis,sd,9.667836305168256
d01_skew,analysis,median,20.450000000000003
d01_skew,analysis,skewness,1.2049975268497233
d01_skew,analysis,kurtosis,1.9172215141132423
d01_skew,analysis,statistic,0.9194429141146067
d01_skew,analysis,p.value,0.1263683208050045
d01_skew,analysis,sw.usable,1
d01_skew,analysis,output.chars,1448
d01_skew,wizard,n.available,18
d01_skew,wizard,n,18
d01_skew,wizard,skewness,1.2049975268497233
d01_skew,wizard,kurtosis,1.9172215141132423
d01_skew,wizard,recommendation.code,1
d01_skew,wizard,output.chars,143
d02_kurt,analysis,n,10
d02_kurt,analysis,n.excluded,0
d02_kurt,analysis,mean,51.88
d02_kurt,analysis,sd,9.3494860227121
d02_kurt,analysis,median,52.349999999999994
d02_kurt,analysis,skewness,-0.7428757710153339
d02_kurt,analysis,kurtosis,3.51721105003271
d02_kurt,analysis,statistic,0.8722992124023273
d02_kurt,analysis,p.value,0.106319122293144
d02_kurt,analysis,sw.usable,1
d02_kurt,analysis,output.chars,1443
d02_kurt,wizard,n.available,10
d02_kurt,wizard,n,10
d02_kurt,wizard,skewness,-0.7428757710153339
d02_kurt,wizard,kurtosis,3.51721105003271
d02_kurt,wizard,recommendation.code,1
d02_kurt,wizard,output.chars,144
g01_normal,analysis,n,24
g01_normal,analysis,n.excluded,0
g01_normal,analysis,mean,47.8875
g01_normal,analysis,sd,7.993710163241661
g01_normal,analysis,median,48.75
g01_normal,analysis,skewness,-0.019076554787003836
g01_normal,analysis,kurtosis,-0.28111066693520836
g01_normal,analysis,statistic,0.977029533247791
g01_normal,analysis,p.value,0.8354644370130686
g01_normal,analysis,sw.usable,1
g01_normal,analysis,output.chars,1453
g01_normal,wizard,n.available,24
g01_normal,wizard,n,24
g01_normal,wizard,skewness,-0.019076554787003836
g01_normal,wizard,kurtosis,-0.28111066693520836
g01_normal,wizard,recommendation.code,1
g01_normal,wizard,output.chars,145
g02_largen,analysis,n,60
g02_largen,analysis,n.excluded,0
g02_largen,analysis,mean,22.003333333333334
g02_largen,analysis,sd,8.419226718118086
g02_largen,analysis,median,19.75
g02_largen,analysis,skewness,1.6226207908578327
g02_largen,analysis,kurtosis,4.1826970798421215
g02_largen,analysis,statistic,0.8827277652931932
g02_largen,analysis,p.value,3.267402526926113e-05
g02_largen,analysis,sw.usable,1
g02_largen,analysis,output.chars,1610
g02_largen,wizard,n.available,60
g02_largen,wizard,n,60
g02_largen,wizard,skewness,1.6226207908578327
g02_largen,wizard,kurtosis,4.1826970798421215
g02_largen,wizard,recommendation.code,1
g02_largen,wizard,output.chars,225
g03_severe,analysis,n,60
g03_severe,analysis,n.excluded,0
g03_severe,analysis,mean,26.528333333333332
g03_severe,analysis,sd,22.537517434056383
g03_severe,analysis,median,21.3
g03_severe,analysis,skewness,2.650264784721308
g03_severe,analysis,kurtosis,9.260760345517875
