praat_version	Praat 6.6.30 (June 30 2026)
shipped_plugin	/home/claude/repo/plugin
shadow_assert_lines_before	2
shadow_assert_lines_after	0
shadow_build	ok
ctl_arrow_def.status	ok
ctl_arrow_lo.status	ok
ctl_arrow_hi.status	ok
ctl_speck_def.status	ok
ctl_speck_lo.status	ok
ctl_speck_hi.status	ok
ctl_paint_lo.status	ok
ctl_paint_hi.status	ok
ctl_arrow.diff_pixels	12700
ctl_arrow.bytes_a	16122
ctl_arrow.bytes_b	18010
ctl_arrow.sha_a	4dc755a0fe164e3a
ctl_arrow.sha_b	f880e3a28dae8ec6
ctl_speckle.diff_pixels	263697
ctl_speckle.bytes_a	19387
ctl_speckle.bytes_b	36312
ctl_speckle.sha_a	f46966993844f295
ctl_speckle.sha_b	7336b63b76c6c075
ctl_arrow_default.diff_pixels	0
ctl_arrow_default.bytes_a	16122
ctl_arrow_default.bytes_b	16122
ctl_arrow_default.sha_a	4dc755a0fe164e3a
ctl_arrow_default.sha_b	4dc755a0fe164e3a
ctl_speck_default.diff_pixels	0
ctl_speck_default.bytes_a	19387
ctl_speck_default.bytes_b	19387
ctl_speck_default.sha_a	f46966993844f295
ctl_speck_default.sha_b	f46966993844f295
ctl_paint_circle.diff_pixels	0
ctl_paint_circle.bytes_a	5416
ctl_paint_circle.bytes_b	5416
ctl_paint_circle.sha_a	86ea11a6fac07675
ctl_paint_circle.sha_b	86ea11a6fac07675
shipped_witness_clean.status	ok
shipped_witness_hostile.status	ok
shipped_fig_clean.status	ok
shipped_fig_hostile.status	ok
shipped_witness.diff_pixels	0
shipped_witness.bytes_a	18146
shipped_witness.bytes_b	18146
shipped_witness.sha_a	735966fcf8873b6d
shipped_witness.sha_b	735966fcf8873b6d
shipped_fig.diff_pixels	0
shipped_fig.bytes_a	104529
shipped_fig.bytes_b	104529
shipped_fig.sha_a	2945c4b723d4cccd
shipped_fig.sha_b	2945c4b723d4cccd
shadow_witness_clean.status	ok
shadow_witness_hostile.status	ok
shadow_fig_clean.status	ok
shadow_fig_hostile.status	ok
shadow_witness.diff_pixels	157849
shadow_witness.bytes_a	18146
shadow_witness.bytes_b	29199
shadow_witness.sha_a	735966fcf8873b6d
shadow_witness.sha_b	3e9a3c75c8032dbf
shadow_fig.diff_pixels	0
shadow_fig.bytes_a	104529
shadow_fig.bytes_b	104529
shadow_fig.sha_a	2945c4b723d4cccd
shadow_fig.sha_b	2945c4b723d4cccd
clean_shipped_vs_shadow.diff_pixels	0
clean_shipped_vs_shadow.bytes_a	104529
clean_shipped_vs_shadow.bytes_b	104529
clean_shipped_vs_shadow.sha_a	2945c4b723d4cccd
clean_shipped_vs_shadow.sha_b	2945c4b723d4cccd
