leg	key	value
rig	src	/home/claude/repo/plugin_EML_StatsGraphs
rig	praat	Praat 6.6.30 (June 30 2026)
anova_tukey	returned	0
anova_tukey	alpha	.
anova_tukey	complete	1
anova_notukey	returned	0
anova_notukey	alpha	.
anova_notukey	complete	1
kw_dunn	returned	0
kw_dunn	alpha	.
kw_dunn	complete	1
kw_nodunn	returned	0
kw_nodunn	alpha	.
kw_nodunn	complete	1
pairwise_scheffe	returned	0
pairwise_scheffe	alpha	.
pairwise_scheffe	complete	1
pairwise_welch_bh	returned	0
pairwise_welch_bh	alpha	.
pairwise_welch_bh	complete	1
wizard_scheffe_dispatch	returned	0
wizard_scheffe_dispatch	alpha	.
wizard_scheffe_dispatch	complete	1
rm_posthoc	returned	0
rm_posthoc	alpha	.
rm_posthoc	complete	1
friedman_posthoc	returned	0
friedman_posthoc	alpha	.
friedman_posthoc	complete	1
bridge_kw_matrix	returned	0
bridge_kw_matrix	alpha	.
bridge_kw_matrix	complete	1
bridge_kw_brackets	returned	0
bridge_kw_brackets	alpha	.
bridge_kw_brackets	complete	1
bridge_anova_brackets	returned	0
bridge_anova_brackets	alpha	.
bridge_anova_brackets	complete	1
bridge_anova_matrix	returned	0
bridge_anova_matrix	alpha	.
bridge_anova_matrix	complete	1
anova_tukey_alpha001	returned	0
anova_tukey_alpha001	alpha	0.01
anova_tukey_alpha001	complete	1
kw_dunn_alpha001	returned	0
kw_dunn_alpha001	alpha	0.01
kw_dunn_alpha001	complete	1
anova_tukey_sig	returned	0
anova_tukey_sig	alpha	.
anova_tukey_sig	complete	1
kw_dunn_sig	returned	0
kw_dunn_sig	alpha	.
kw_dunn_sig	complete	1
wizard_scheffe	display	:150
wizard_scheffe	listening	1
wizard_scheffe	steps	5
wizard_scheffe	trail	Pause: EML Stats Wizard > Pause: Compare — Observation type > Pause: Compare independent — Design > Pause: Three+ groups — Select columns > Pause: Three or More Groups — Test > Pause: Analysis complete
wizard_scheffe	info_bytes	5982
wizard_scheffe	state	walked
wizard_scheffe	praat_error	0
