id,value
S01,37.311284
S02,21.113324
S03,42.864854
S04,14.397815
S05,27.925569
S06,25.00892
S07,106.499814
S08,32.603462
S09,15.594575
S10,32.711558
S11,1.946611
S12,8.566767
S13,17.381414
S14,23.006976
S15,38.353609
S16,6.259153
S17,25.164444
S18,29.823011
S19,3.184125
S20,82.676953
S21,5.499484
S22,45.558931
S23,1.163901
S24,26.862474
S25,33.789275
S26,16.055634
S27,11.20367
S28,7.513584
S29,27.696239
S30,16.747802
S31,69.592867
S32,16.928002
S33,12.684333
S34,23.81026
S35,10.869399
S36,1.696492
S37,14.717356
S38,33.630121
S39,0.530328
S40,3.279249
