i,theoretical,sample
1,-2.156355705191826,128.399820893521223
2,-1.746377703932501,141.375347264048372
3,-1.512389586067680,143.911129343474613
4,-1.340372647815915,148.281559856651683
5,-1.200838988813933,149.717168079289991
6,-1.081436246427833,153.189845596909237
7,-0.975741569736452,153.797976867056519
8,-0.879958138385173,156.105904787724654
9,-0.791638607743375,157.700644126625207
10,-0.709102503409024,167.220058545048516
11,-0.631137978608047,167.298739560923394
12,-0.556835609770804,168.304343188857331
13,-0.485489452829721,172.383532187973941
14,-0.416534901828723,173.083531504713051
15,-0.349507855309863,177.241665078931419
16,-0.284016787609739,179.591600212391910
17,-0.219722915818580,179.734031537699110
18,-0.156325575894448,186.299086231621544
19,-0.093550995786424,187.161827299417155
20,-0.031143273032093,187.996053989086164
21,0.031143273032093,188.420385681915064
22,0.093550995786424,188.760728594593644
23,0.156325575894448,191.204604040335539
24,0.219722915818580,195.799239174628354
25,0.284016787609739,198.690083911534856
26,0.349507855309863,199.637030665212876
27,0.416534901828723,200.062382049236476
28,0.485489452829721,201.039075671682639
29,0.556835609770804,204.133040924810047
30,0.631137978608047,204.996081146194683
31,0.709102503409024,205.046757626687707
32,0.791638607743375,206.466418209255949
33,0.879958138385173,207.828173438331135
34,0.975741569736452,208.134728778832255
35,1.081436246427833,212.903407531438774
36,1.200838988813932,214.066571867056638
37,1.340372647815915,228.445987239756676
38,1.512389586067680,230.121658710100860
39,1.746377703932501,231.019026468887233
40,2.156355705191826,231.251582343058743
