i,theoretical,sample
1,-2.156355705191826,0.123536860372384
2,-1.746377703932501,0.345642795808679
3,-1.512389586067680,0.474010808688048
4,-1.340372647815915,0.536923851912556
5,-1.200838988813933,0.572913776652328
6,-1.081436246427833,0.600647232195480
7,-0.975741569736452,0.621291653660542
8,-0.879958138385173,0.681756736625763
9,-0.791638607743375,0.715607023127430
10,-0.709102503409024,0.720434696035363
11,-0.631137978608047,0.722878422400431
12,-0.556835609770804,0.769288884988549
13,-0.485489452829721,1.008833479717129
14,-0.416534901828723,1.056815890277019
15,-0.349507855309863,1.064103701781460
16,-0.284016787609739,1.104332896894335
17,-0.219722915818580,1.118277731112417
18,-0.156325575894448,1.146541560959659
19,-0.093550995786424,1.198483939644758
20,-0.031143273032093,1.211323634395844
21,0.031143273032093,1.215572396146673
22,0.093550995786424,1.238109652124749
23,0.156325575894448,1.262053274753433
24,0.219722915818580,1.315745494034893
25,0.284016787609739,1.344397544121340
26,0.349507855309863,1.380468318569548
27,0.416534901828723,1.397180530047912
28,0.485489452829721,1.411824148352582
29,0.556835609770804,1.443871855010160
30,0.631137978608047,1.450620499907109
31,0.709102503409024,1.474426502772680
32,0.791638607743375,1.502213298850025
33,0.879958138385173,1.546103670259950
34,0.975741569736452,1.617454342042356
35,1.081436246427833,1.706975749935886
36,1.200838988813932,1.783598341324933
37,1.340372647815915,1.835125298325333
38,1.512389586067680,1.968972642254017
39,1.746377703932501,2.347330696171690
40,2.156355705191826,2.541324186295038
