case	field	value
twogroup_both	schema	eRS1
twogroup_both	run	1
twogroup_both	valid	1
twogroup_both	error	
twogroup_both	producer	emlRunTwoGroupAnalysis
twogroup_both	door	menu
twogroup_both	kind	group
twogroup_both	key	eTF2|r=8|c=2|n=104|s=2|d=110514793_850378032_1753824234
twogroup_both	keyError	
twogroup_both	keyError	
twogroup_both	tableName	storefix2
twogroup_both	dataCol	value
twogroup_both	groupCol	group
twogroup_both	testType	welch t + mann-whitney
twogroup_both	correction	
twogroup_both	alpha	0.05
twogroup_both	groupSort	table
twogroup_both	nGroups	2
twogroup_both	omnibusLabel	t
twogroup_both	omnibusStat	14.959547159225911
twogroup_both	df1	5.832865826071561
twogroup_both	df2	--undefined--
twogroup_both	omnibusP	7.120922348040318e-06
twogroup_both	effectLabel	Cohen's d
twogroup_both	effect	10.577997239768594
twogroup_both	n	8
twogroup_both	secondLabel	U
twogroup_both	secondStat	16
twogroup_both	secondDf1	--undefined--
twogroup_both	secondP	0.02857142857142857
twogroup_both	secondEffectLabel	rank-biserial r
twogroup_both	secondEffect	1
twogroup_both	postHoc	
twogroup_both	hasMatrix	0
twogroup_both	statLabel	
twogroup_both	pairEffectLabel	
twogroup_both	pRows	1
twogroup_both	effRows	1
twogroup_both	label1	Zebra
twogroup_both	label2	Alpha
twogroup_student	schema	eRS1
twogroup_student	run	2
twogroup_student	valid	1
twogroup_student	error	
twogroup_student	producer	emlRunTwoGroupAnalysis
twogroup_student	door	menu
twogroup_student	kind	group
twogroup_student	key	eTF2|r=8|c=2|n=104|s=2|d=110514793_850378032_1753824234
twogroup_student	keyError	
twogroup_student	keyError	
twogroup_student	tableName	storefix2
twogroup_student	dataCol	value
twogroup_student	groupCol	group
twogroup_student	testType	student t
twogroup_student	correction	
twogroup_student	alpha	0.05
twogroup_student	groupSort	table
twogroup_student	nGroups	2
twogroup_student	omnibusLabel	t
twogroup_student	omnibusStat	14.959547159225911
twogroup_student	df1	6
twogroup_student	df2	--undefined--
twogroup_student	omnibusP	5.618500253434272e-06
twogroup_student	effectLabel	Cohen's d
twogroup_student	effect	10.577997239768594
twogroup_student	n	8
twogroup_student	secondLabel	
twogroup_student	secondStat	--undefined--
twogroup_student	secondDf1	--undefined--
twogroup_student	secondP	--undefined--
twogroup_student	secondEffectLabel	
twogroup_student	secondEffect	--undefined--
twogroup_student	postHoc	
twogroup_student	hasMatrix	0
twogroup_student	statLabel	
twogroup_student	pairEffectLabel	
twogroup_student	pRows	1
twogroup_student	effRows	1
twogroup_student	label1	Zebra
twogroup_student	label2	Alpha
anova_tukey	schema	eRS1
anova_tukey	run	3
anova_tukey	valid	1
anova_tukey	error	
anova_tukey	producer	emlRunAnovaAnalysis
anova_tukey	door	menu
anova_tukey	kind	group
anova_tukey	key	eTF2|r=12|c=2|n=126|s=2|d=809119209_355023251_1475169559
anova_tukey	keyError	
anova_tukey	keyError	
anova_tukey	tableName	storefix
anova_tukey	dataCol	value
anova_tukey	groupCol	group
anova_tukey	testType	one-way anova + tukey
anova_tukey	correction	
anova_tukey	alpha	0.05
anova_tukey	groupSort	table
anova_tukey	nGroups	3
anova_tukey	omnibusLabel	F
anova_tukey	omnibusStat	109.86312849162015
anova_tukey	df1	2
anova_tukey	df2	9
anova_tukey	omnibusP	4.7552043945244235e-07
anova_tukey	effectLabel	eta squared
anova_tukey	effect	0.9606516535586928
anova_tukey	n	12
anova_tukey	secondLabel	
anova_tukey	secondStat	--undefined--
anova_tukey	secondDf1	--undefined--
anova_tukey	secondP	--undefined--
anova_tukey	secondEffectLabel	
anova_tukey	secondEffect	--undefined--
anova_tukey	postHoc	tukey
anova_tukey	hasMatrix	1
anova_tukey	statLabel	q
anova_tukey	pairEffectLabel	Cohen's d
anova_tukey	pRows	3
anova_tukey	effRows	3
anova_tukey	label1	Zebra
anova_tukey	label2	Mid
anova_tukey	label3	Alpha
anova_tukey	p12	0.00010380859823322375
anova_tukey	stat12	10.527298910279347
anova_tukey	diff12	2.875
anova_tukey	eff12	5.469992182776681
anova_only	schema	eRS1
anova_only	run	4
anova_only	valid	1
anova_only	error	
anova_only	producer	emlRunAnovaAnalysis
anova_only	door	menu
anova_only	kind	group
anova_only	key	eTF2|r=12|c=2|n=126|s=2|d=809119209_355023251_1475169559
anova_only	keyError	
anova_only	keyError	
anova_only	tableName	storefix
anova_only	dataCol	value
anova_only	groupCol	group
anova_only	testType	one-way anova
anova_only	correction	
anova_only	alpha	0.05
anova_only	groupSort	table
anova_only	nGroups	3
anova_only	omnibusLabel	F
anova_only	omnibusStat	109.86312849162015
anova_only	df1	2
anova_only	df2	9
anova_only	omnibusP	4.7552043945244235e-07
anova_only	effectLabel	eta squared
anova_only	effect	0.9606516535586928
anova_only	n	12
anova_only	secondLabel	
anova_only	secondStat	--undefined--
anova_only	secondDf1	--undefined--
anova_only	secondP	--undefined--
anova_only	secondEffectLabel	
anova_only	secondEffect	--undefined--
anova_only	postHoc	
anova_only	hasMatrix	1
anova_only	statLabel	
anova_only	pairEffectLabel	Cohen's d
anova_only	pRows	3
anova_only	effRows	3
anova_only	label1	Zebra
anova_only	label2	Mid
anova_only	label3	Alpha
anova_only	p12	--undefined--
anova_only	stat12	--undefined--
anova_only	diff12	--undefined--
anova_only	eff12	5.469992182776681
kw_dunn_holm	schema	eRS1
kw_dunn_holm	run	5
kw_dunn_holm	valid	1
kw_dunn_holm	error	
kw_dunn_holm	producer	emlRunKruskalWallisAnalysis
kw_dunn_holm	door	menu
kw_dunn_holm	kind	group
kw_dunn_holm	key	eTF2|r=12|c=2|n=126|s=2|d=809119209_355023251_1475169559
kw_dunn_holm	keyError	
kw_dunn_holm	keyError	
kw_dunn_holm	tableName	storefix
kw_dunn_holm	dataCol	value
kw_dunn_holm	groupCol	group
kw_dunn_holm	testType	kruskal-wallis + dunn
kw_dunn_holm	correction	holm
kw_dunn_holm	alpha	0.05
kw_dunn_holm	groupSort	table
kw_dunn_holm	nGroups	3
kw_dunn_holm	omnibusLabel	H
kw_dunn_holm	omnibusStat	9.846153846153847
kw_dunn_holm	df1	2
kw_dunn_holm	df2	--undefined--
kw_dunn_holm	omnibusP	0.007276706499332492
kw_dunn_holm	effectLabel	epsilon squared
kw_dunn_holm	effect	0.8951048951048951
kw_dunn_holm	n	12
kw_dunn_holm	secondLabel	
kw_dunn_holm	secondStat	--undefined--
kw_dunn_holm	secondDf1	--undefined--
kw_dunn_holm	secondP	--undefined--
kw_dunn_holm	secondEffectLabel	
kw_dunn_holm	secondEffect	--undefined--
kw_dunn_holm	postHoc	dunn
kw_dunn_holm	hasMatrix	1
kw_dunn_holm	statLabel	z
kw_dunn_holm	pairEffectLabel	rank-biserial r
kw_dunn_holm	pRows	3
kw_dunn_holm	effRows	3
kw_dunn_holm	label1	Zebra
kw_dunn_holm	label2	Mid
kw_dunn_holm	label3	Alpha
kw_dunn_holm	p12	0.2333289295620468
kw_dunn_holm	stat12	1.5689290811054724
kw_dunn_holm	diff12	--undefined--
kw_dunn_holm	eff12	1
kw_dunn_bonferroni	schema	eRS1
kw_dunn_bonferroni	run	6
kw_dunn_bonferroni	valid	1
kw_dunn_bonferroni	error	
kw_dunn_bonferroni	producer	emlRunKruskalWallisAnalysis
kw_dunn_bonferroni	door	menu
kw_dunn_bonferroni	kind	group
kw_dunn_bonferroni	key	eTF2|r=12|c=2|n=126|s=2|d=809119209_355023251_1475169559
kw_dunn_bonferroni	keyError	
kw_dunn_bonferroni	keyError	
kw_dunn_bonferroni	tableName	storefix
kw_dunn_bonferroni	dataCol	value
kw_dunn_bonferroni	groupCol	group
kw_dunn_bonferroni	testType	kruskal-wallis + dunn
kw_dunn_bonferroni	correction	bonferroni
kw_dunn_bonferroni	alpha	0.05
kw_dunn_bonferroni	groupSort	table
kw_dunn_bonferroni	nGroups	3
kw_dunn_bonferroni	omnibusLabel	H
kw_dunn_bonferroni	omnibusStat	9.846153846153847
kw_dunn_bonferroni	df1	2
kw_dunn_bonferroni	df2	--undefined--
kw_dunn_bonferroni	omnibusP	0.007276706499332492
kw_dunn_bonferroni	effectLabel	epsilon squared
kw_dunn_bonferroni	effect	0.8951048951048951
kw_dunn_bonferroni	n	12
kw_dunn_bonferroni	secondLabel	
kw_dunn_bonferroni	secondStat	--undefined--
kw_dunn_bonferroni	secondDf1	--undefined--
kw_dunn_bonferroni	secondP	--undefined--
kw_dunn_bonferroni	secondEffectLabel	
kw_dunn_bonferroni	secondEffect	--undefined--
kw_dunn_bonferroni	postHoc	dunn
