speaker,cohort,f0_Hz,.fitted,.resid,.std.resid,.hat
A01,alpha,4242,621.25,3620.75,4.58255856697321,0.125
A02,alpha,101,621.25,-520.25,-0.6584481376697681,0.125
A03,alpha,102,621.25,-519.25,-0.6571824997309507,0.125
A04,alpha,103,621.25,-518.25,-0.6559168617921333,0.125
A05,alpha,104,621.25,-517.25,-0.6546512238533158,0.125
A06,alpha,105,621.25,-516.25,-0.6533855859144984,0.125
A07,alpha,106,621.25,-515.25,-0.652119947975681,0.125
A08,alpha,107,621.25,-514.25,-0.6508543100368634,0.125
B01,bravo,300,303.5,-3.5,-0.004429732785861006,0.125
B02,bravo,301,303.5,-2.5,-0.0031640948470435756,0.125
B03,bravo,302,303.5,-1.5,-0.0018984569082261453,0.125
B04,bravo,303,303.5,-0.5,-0.0006328189694087151,0.125
B05,bravo,304,303.5,0.5,0.0006328189694087151,0.125
B06,bravo,305,303.5,1.5,0.0018984569082261453,0.125
B07,bravo,306,303.5,2.5,0.0031640948470435756,0.125
B08,bravo,307,303.5,3.5,0.004429732785861006,0.125
C01,charlie,900,903.5,-3.5,-0.004429732785861006,0.125
C02,charlie,901,903.5,-2.5,-0.0031640948470435756,0.125
C03,charlie,902,903.5,-1.5,-0.0018984569082261453,0.125
C04,charlie,903,903.5,-0.5,-0.0006328189694087151,0.125
C05,charlie,904,903.5,0.5,0.0006328189694087151,0.125
C06,charlie,905,903.5,1.5,0.0018984569082261453,0.125
C07,charlie,906,903.5,2.5,0.0031640948470435756,0.125
C08,charlie,907,903.5,3.5,0.004429732785861006,0.125
