speaker,cohort,f0_Hz,.fitted,.resid,.std.resid,.hat
D01,alpha,4242,708.75,3533.25,4.582557708133908,0.125
D02,alpha,201,708.75,-507.75,-0.658542043813767,0.125
D03,alpha,202,708.75,-506.75,-0.6572450629298403,0.125
D04,alpha,203,708.75,-505.75,-0.6559480820459136,0.125
D05,alpha,204,708.75,-504.75,-0.654651101161987,0.125
D06,alpha,205,708.75,-503.75,-0.6533541202780603,0.125
D07,alpha,206,708.75,-502.75,-0.6520571393941336,0.125
D08,alpha,207,708.75,-501.75,-0.650760158510207,0.125
E01,bravo,210,213.5,-3.5,-0.004539433093743347,0.125
E02,bravo,211,213.5,-2.5,-0.0032424522098166765,0.125
E03,bravo,212,213.5,-1.5,-0.0019454713258900058,0.125
E04,bravo,213,213.5,-0.5,-0.0006484904419633352,0.125
E05,bravo,214,213.5,0.5,0.0006484904419633352,0.125
E06,bravo,215,213.5,1.5,0.0019454713258900058,0.125
E07,bravo,216,213.5,2.5,0.0032424522098166765,0.125
E08,bravo,217,213.5,3.5,0.004539433093743347,0.125
F01,charlie,220,223.5,-3.5,-0.004539433093743347,0.125
F02,charlie,221,223.5,-2.5,-0.0032424522098166765,0.125
F03,charlie,222,223.5,-1.5,-0.0019454713258900058,0.125
F04,charlie,223,223.5,-0.5,-0.0006484904419633352,0.125
F05,charlie,224,223.5,0.5,0.0006484904419633352,0.125
F06,charlie,225,223.5,1.5,0.0019454713258900058,0.125
F07,charlie,226,223.5,2.5,0.0032424522098166765,0.125
F08,charlie,227,223.5,3.5,0.004539433093743347,0.125
