leg	key	value
rig	src	/home/claude/repo/plugin_EML_StatsGraphs
rig	praat	Praat 6.6.30 (June 30 2026)
twogroup_both_off	returned	0
twogroup_both_off	complete	1
twogroup_both_on	returned	0
twogroup_both_on	complete	1
twogroup_welch_off	returned	0
twogroup_welch_off	complete	1
twogroup_welch_on	returned	0
twogroup_welch_on	complete	1
twogroup_mwu_off	returned	0
twogroup_mwu_off	complete	1
twogroup_mwu_on	returned	0
twogroup_mwu_on	complete	1
anova_tukey_off	returned	0
anova_tukey_off	complete	1
anova_tukey_on	returned	0
anova_tukey_on	complete	1
anova_only_off	returned	0
anova_only_off	complete	1
anova_only_on	returned	0
anova_only_on	complete	1
kw_dunn_off	returned	0
kw_dunn_off	complete	1
kw_dunn_on	returned	0
kw_dunn_on	complete	1
kw_only_off	returned	0
kw_only_off	complete	1
kw_only_on	returned	0
kw_only_on	complete	1
pairwise_welch_off	returned	0
pairwise_welch_off	complete	1
pairwise_welch_on	returned	0
pairwise_welch_on	complete	1
pairwise_wilcoxon_off	returned	0
pairwise_wilcoxon_off	complete	1
pairwise_wilcoxon_on	returned	0
pairwise_wilcoxon_on	complete	1
correlation_both_off	returned	0
correlation_both_off	complete	1
correlation_both_on	returned	0
correlation_both_on	complete	1
regression_off	returned	0
regression_off	complete	1
regression_on	returned	0
regression_on	complete	1
descriptive_off	returned	0
descriptive_off	complete	1
descriptive_on	returned	0
descriptive_on	complete	1
normality_off	returned	0
normality_off	complete	1
normality_on	returned	0
normality_on	complete	1
paired_both_off	returned	0
paired_both_off	complete	1
paired_both_on	returned	0
paired_both_on	complete	1
rmanova_off	returned	0
rmanova_off	complete	1
rmanova_on	returned	0
rmanova_on	complete	1
friedman_off	returned	0
friedman_off	complete	1
friedman_on	returned	0
friedman_on	complete	1
caution_anova_off	returned	0
caution_anova_off	complete	1
caution_anova_on	returned	0
caution_anova_on	complete	1
caution_kw_off	returned	0
caution_kw_off	complete	1
caution_kw_on	returned	0
caution_kw_on	complete	1
caution_pairwise_off	returned	0
caution_pairwise_off	complete	1
caution_pairwise_on	returned	0
caution_pairwise_on	complete	1
