cell	key	value
rig	src	/tmp/tmp.VgCsCpy7la/plugin_EML_StatsGraphs
rig	praat	Praat 6.6.30 (June 30 2026)
expl0_sort0_alpha05	returned	0
expl0_sort0_alpha05	complete	1
expl0_sort0_alpha01	returned	0
expl0_sort0_alpha01	complete	1
expl0_sort1_alpha05	returned	0
expl0_sort1_alpha05	complete	1
expl0_sort1_alpha01	returned	0
expl0_sort1_alpha01	complete	1
expl1_sort0_alpha05	returned	0
expl1_sort0_alpha05	complete	1
expl1_sort0_alpha01	returned	0
expl1_sort0_alpha01	complete	1
expl1_sort1_alpha05	returned	0
expl1_sort1_alpha05	complete	1
expl1_sort1_alpha01	returned	0
expl1_sort1_alpha01	complete	1
