case	key	value
meta	record_sha	a704ac4c757ae5d1
twotables	recorded	1
twotables	step1_kind	draw
twotables	step1_replay	IDENTICAL
twotables	step2_kind	draw
twotables	step2_replay	IDENTICAL
twotables	replay_aborts	0
twotables	record_aborts	0
onlyrun2	recorded	1
onlyrun2	step1_kind	draw
onlyrun2	step1_replay	IDENTICAL
onlyrun2	step2_kind	draw
onlyrun2	step2_replay	IDENTICAL
onlyrun2	replay_aborts	0
onlyrun2	record_aborts	0
three	recorded	1
three	step1_kind	draw
three	step1_replay	IDENTICAL
three	step2_kind	draw
three	step2_replay	IDENTICAL
three	step3_kind	draw
three	step3_replay	IDENTICAL
three	replay_aborts	0
three	record_aborts	0
single	recorded	1
single	step1_kind	draw
single	step1_replay	IDENTICAL
single	step2_kind	save
single	replay_aborts	0
single	record_aborts	0
single	saved_exts	eps,png,txt
sametable	recorded	1
sametable	step1_kind	draw
sametable	step1_replay	IDENTICAL
sametable	step2_kind	draw
sametable	step2_replay	IDENTICAL
sametable	replay_aborts	0
sametable	record_aborts	0
twosaves	recorded	1
twosaves	step1_kind	draw
twosaves	step1_replay	IDENTICAL
twosaves	step2_kind	save
twosaves	step3_kind	save
twosaves	replay_aborts	0
twosaves	record_aborts	0
twosaves	saved1_exts	png,txt
twosaves	saved2_exts	pdf,png,txt
saveruns	recorded	1
saveruns	step1_kind	draw
saveruns	step1_replay	IDENTICAL
saveruns	step2_kind	save
saveruns	step3_kind	draw
saveruns	step3_replay	IDENTICAL
saveruns	step4_kind	save
saveruns	replay_aborts	0
saveruns	record_aborts	0
saveruns	saved1_exts	png,txt
saveruns	saved2_exts	pdf,png,txt
axisedit	recorded	1
axisedit	step1_kind	draw
axisedit	step1_replay	IDENTICAL
axisedit	step2_kind	draw
axisedit	step2_replay	IDENTICAL
axisedit	replay_aborts	0
axisedit	record_aborts	0
callsite	recorded	1
callsite	step1_kind	draw
callsite	step1_replay	IDENTICAL
callsite	step2_kind	draw
callsite	step2_replay	IDENTICAL
callsite	replay_aborts	0
callsite	record_aborts	0
head_single	recorded	1
sametable	edit_lines_changed	1
sametable	edit_run1_vs_orig	IDENTICAL
sametable	edit_run2_vs_orig	DIFFERS
sametable	edit_run2_vs_twin	IDENTICAL
sametable	edit_aborts	0
axisedit	edit_lines_changed	1
axisedit	edit_run1_vs_orig	DIFFERS
axisedit	edit_run1_vs_wide	IDENTICAL
axisedit	edit_run2_vs_orig	IDENTICAL
axisedit	edit_aborts	0
