praat_version	6.6.30
basename_chars_tested	9
basename_char_1	pre-post
basename_char_2	pre-post
basename_char_3	pre-post
basename_char_4	pre-post
basename_char_5	pre-post
basename_char_6	pre-post
basename_char_7	pre-post
basename_char_8	pre-post
basename_char_9	pre-post
basename_chars_surviving	0
basename_prepost	pre-post
basename_prepost_changed	1
basename_ordinary	save_demo_two-group_20260815_034322
basename_ordinary_changed	0
basename_leading_dot	hidden
basename_trailing_dot	trailing
basename_write_landed	1
folder_writable_ok	1
folder_writable_reason	
folder_created_ok	1
folder_created_exists	1
folder_empty_ok	0
ro_folder	/home/claude/EMLPraatTools/harness/savepaths/guards_out/work/ro
ro_folder_exists	1
folder_readonly_ok	0
folder_readonly_reason	That folder cannot be written to.
folder_readonly_child_ok	0
folder_readonly_child_reason	That folder does not exist and could not be created.
probe_litter_rw	0
probe_litter_ro	0
folder_probe_survived	1
receipt_paths	3
receipt_lines	6
receipt_line_1	/tmp/aud51/out/normsave/demo_normality_normality_20260814_2244
receipt_line_2	19_tidy.csv
receipt_line_3	/tmp/aud51/out/normsave/demo_normality_normality_20260814_2244
receipt_line_4	19_glance.csv
receipt_line_5	/tmp/aud51/out/normsave/demo_normality_normality_20260814_2244
receipt_line_6	19_report.txt
receipt_longest_line	62
receipt_roundtrip	1
receipt_note_lines	9
receipt_note_longest_line	62
coerce_matrix_survived	1
coerce_matrix_ncols	4
coerce_matrix_converted	1
coerce_tor_survived	1
coerce_tor_ncols	3
coerce_partial_survived	1
coerce_partial_ncols	3
coerce_full_survived	1
coerce_full_label1	alpha
coerce_full_label3	gamma
audit_matrix_verdict	empty
audit_matrix_unlabelled	6
audit_matrix_verdict_2	empty
audit_matrix_strict	0
audit_matrix_unreadable	1
audit_matrix_probe_survived	1
audit_partial_verdict	partial
audit_partial_labelled	2
audit_partial_unlabelled	2
audit_full_verdict	labelled
audit_full_unlabelled	0
stranded_probe_tables	0
completed	1
