TABWALK BEGIN
RESULT nofields4_k0 clicked=1
RESULT nofields4_k1 clicked=2
RESULT nofields4_k2 clicked=3
RESULT nofields4_k3 clicked=4
RESULT nofields4_k4 clicked=1
RESULT nofields4_k5 clicked=2
RESULT fields2_k0 clicked=2
RESULT fields2_k1 clicked=2
RESULT fields2_k2 clicked=1
RESULT fields2_k3 clicked=1
RESULT fields2_k4 clicked=2
RESULT fields6_k0 clicked=4
RESULT fields6_k1 clicked=4
RESULT fields6_k2 clicked=4
RESULT fields6_k3 clicked=4
RESULT fields6_k4 clicked=4
RESULT fields6_k5 clicked=4
RESULT nofields1_k0 clicked=1
RESULT nofields1_k1 clicked=1
RESULT nofields1_k2 clicked=1
RESULT bools3_k0 clicked=3
RESULT bools3_k1 clicked=3
RESULT bools3_k2 clicked=1
RESULT bools3_k3 clicked=1
RESULT bools3_k4 clicked=2
RESULT bools3_k5 clicked=3
RESULT folder2_k0 clicked=1
RESULT folder2_k1 clicked=1
RESULT folder2_k2 clicked=1
RESULT folder2_k3 clicked=1
RESULT folder2_k4 clicked=1
RESULT folder2_k5 clicked=1
RESULT deftest_k0 clicked=3
RESULT deftest_k1 clicked=3
RESULT nofields4_r1 clicked=4
RESULT nofields4_r2 clicked=3
RESULT fields2_r1 clicked=2
RESULT fields2_r2 clicked=1
RESULT fields6_r1 clicked=4
RESULT fields6_r2 clicked=3
RESULT bools3_r1 clicked=3
RESULT folder2_r1 clicked=2
RESULT folder2_r2 clicked=1
RESULT nofields1_r1 clicked=1
TABWALK DONE
