nofields4_k0	0	CLOSED	-	1
nofields4_k1	1	CLOSED	-	2
nofields4_k2	2	CLOSED	-	3
nofields4_k3	3	CLOSED	-	4
nofields4_k4	4	CLOSED	-	1
nofields4_k5	5	CLOSED	-	2
fields2_k0	0	CLOSED	-	2
fields2_k1	1	CLOSED	-	2
fields2_k2	2	NOCLOSE	-	NA
fields2_k3	3	CLOSED	-	1
fields2_k4	4	CLOSED	-	2
fields6_k0	0	NOCLOSE	-	NA
fields6_k1	1	CLOSED	-	4
fields6_k2	2	CLOSED	-	4
fields6_k3	3	NOCLOSE	-	NA
fields6_k4	4	CLOSED	-	4
fields6_k5	5	CLOSED	-	4
nofields1_k0	0	CLOSED	-	1
nofields1_k1	1	CLOSED	-	1
nofields1_k2	2	CLOSED	-	1
bools3_k0	0	CLOSED	-	3
bools3_k1	1	CLOSED	-	3
bools3_k2	2	NOCLOSE	-	NA
bools3_k3	3	CLOSED	-	1
bools3_k4	4	CLOSED	-	2
bools3_k5	5	CLOSED	-	3
folder2_k0	0	CHOOSER	Choose folder	NA
folder2_k1	1	NOCLOSE	-	NA
folder2_k2	2	NOCLOSE	-	NA
folder2_k3	3	NOCLOSE	-	NA
folder2_k4	4	NOCLOSE	-	NA
folder2_k5	5	NOCLOSE	-	NA
deftest_k0	0	CLOSED	-	3
deftest_k1	1	CLOSED	-	3
nofields4_r1	1	CLOSED	-	4
nofields4_r2	2	CLOSED	-	3
fields2_r1	1	CLOSED	-	2
fields2_r2	2	CLOSED	-	1
fields6_r1	1	CLOSED	-	4
fields6_r2	2	CLOSED	-	3
bools3_r1	1	CLOSED	-	3
folder2_r1	1	CLOSED	-	2
folder2_r2	2	CLOSED	-	1
nofields1_r1	1	CLOSED	-	1
