"stat","value","tol"
"confidence_level",0.95,0
"alpha_clean",0.849339735894358,1e-10
"alpha_clean_feldt_lo",0.727172130291108,1e-08
"alpha_clean_feldt_hi",0.926969614607198,1e-08
"alpha_clean_n",24,0
"alpha_clean_nExcluded",0,0
"alpha_clean_drop1",0.864984506418769,1e-10
"alpha_clean_drop2",0.809044256665509,1e-10
"alpha_clean_drop3",0.763902669501536,1e-10
"alpha_clean_drop4",0.828163466272772,1e-10
"alpha_clean_drop5",0.814883433688436,1e-10
"alpha_revnotrev",-0.141011392053348,1e-10
"alpha_revnotrev_feldt_lo",-1.06623630494375,1e-08
"alpha_revnotrev_feldt_hi",0.446911219797119,1e-08
"alpha_revnotrev_n",24,0
"alpha_revnotrev_nExcluded",0,0
"alpha_revnotrev_drop1",-0.545885139135583,1e-10
"alpha_revnotrev_drop2",-0.661089094378394,1e-10
"alpha_revnotrev_drop3",0.763902669501536,1e-10
"alpha_revnotrev_drop4",-1.72935323383085,1e-10
"alpha_revnotrev_drop5",-1.04317055909413,1e-10
"alpha_2item",0.286852589641434,1e-10
"alpha_2item_feldt_lo",-1.47725948264685,1e-08
"alpha_2item_feldt_hi",0.794700865022936,1e-08
"alpha_2item_n",12,0
"alpha_2item_nExcluded",0,0
"alpha_missing",0.843429382230954,1e-10
"alpha_missing_feldt_lo",0.704979123031866,1e-08
"alpha_missing_feldt_hi",0.928514054504209,1e-08
"alpha_missing_n",21,0
"alpha_missing_nExcluded",3,0
"alpha_missing_drop1",0.862767805442965,1e-10
"alpha_missing_drop2",0.810643564356436,1e-10
"alpha_missing_drop3",0.75,1e-10
"alpha_missing_drop4",0.813466162830642,1e-10
"alpha_missing_drop5",0.804941482444733,1e-10
"influence_alpha_clean_alphaFull",0.849339735894358,1e-10
"influence_alpha_clean_deltaMax",0.0237744840101848,1e-10
"influence_alpha_clean_deltaMaxRow",16,0
"influence_influence_deviant_alphaFull",0.809826696165192,1e-10
"influence_influence_deviant_deltaMax",0.084486192033566,1e-10
"influence_influence_deviant_deltaMaxRow",14,0
"influence_influence_missdev_alphaFull",0.880946440452429,1e-10
"influence_influence_missdev_deltaMax",0.0327366506500175,1e-10
"influence_influence_missdev_deltaMaxRow",17,0
"influence_influence_n3_alphaFull",0.89922480620155,1e-10
