"stat","value","tol"
"rm_anova_F",583.123235949267,1e-06
"rm_anova_gg",0.848564451275222,1e-09
"friedman_chisq",40,1e-09
"kendalls_w",1,1e-09
"cohens_dz",1.72757892627286,1e-09
"rank_biserial_paired",0.971428571428571,1e-12
"cohens_d_pooled",-2.10493403303766,1e-09
"hedges_g",-2.06311415158658,1e-04
"rank_biserial_indep",-0.88,1e-09
"kw_H",18.6179710144927,1e-09
"epsilon_squared",0.423135704874835,1e-09
"dunn_p_Soprano_Mezzo",0.00233214345464163,1e-10
"dunn_p_Soprano_Alto",3.04214565473388e-05,1e-10
"dunn_p_Mezzo_Alto",0.260174900983548,1e-10
"holm_adj_1",0.00466428690928326,1e-12
"holm_adj_2",9.12643696420164e-05,1e-12
"holm_adj_3",0.260174900983548,1e-12
"skewness_g1",-0.0405626225331158,1e-10
"excess_kurtosis",0.140393361494653,1e-10
"shapiro_W_F0_Hz",0.971864258620778,1e-06
"shapiro_p_F0_Hz",0.411504375858967,1e-04
"shapiro_W_shimmer_pct",0.927906989412984,1e-06
"shapiro_p_shimmer_pct",0.0137700893891476,1e-04
"shapiro_W_jitter_pct",0.977386999625232,1e-06
"shapiro_p_jitter_pct",0.593351726456337,1e-04
