file	line	procedure_called	violation_kind	proposed_disposition	reason
eml-analysis.praat	120	emlCountGroups	used-before-check	SAFE	.nBlankRows initializes to 0 at emlCountGroups's top (stats/eml-extract.praat:1718) and is incremented only inside the row-loop that runs on the column-found success path (stats/eml-extract.praat:1764); it cannot be nonzero on the column-not-found failure path. The real gate on emlCountGroups.error$ follows on the very next non-comment line (verified identical at all 5 sites: eml-analysis.praat:120,534,957,1268,1826).
eml-analysis.praat	534	emlCountGroups	used-before-check	SAFE	.nBlankRows initializes to 0 at emlCountGroups's top (stats/eml-extract.praat:1718) and is incremented only inside the row-loop that runs on the column-found success path (stats/eml-extract.praat:1764); it cannot be nonzero on the column-not-found failure path. The real gate on emlCountGroups.error$ follows on the very next non-comment line (verified identical at all 5 sites: eml-analysis.praat:120,534,957,1268,1826).
eml-analysis.praat	957	emlCountGroups	used-before-check	SAFE	.nBlankRows initializes to 0 at emlCountGroups's top (stats/eml-extract.praat:1718) and is incremented only inside the row-loop that runs on the column-found success path (stats/eml-extract.praat:1764); it cannot be nonzero on the column-not-found failure path. The real gate on emlCountGroups.error$ follows on the very next non-comment line (verified identical at all 5 sites: eml-analysis.praat:120,534,957,1268,1826).
eml-analysis.praat	1268	emlCountGroups	used-before-check	SAFE	.nBlankRows initializes to 0 at emlCountGroups's top (stats/eml-extract.praat:1718) and is incremented only inside the row-loop that runs on the column-found success path (stats/eml-extract.praat:1764); it cannot be nonzero on the column-not-found failure path. The real gate on emlCountGroups.error$ follows on the very next non-comment line (verified identical at all 5 sites: eml-analysis.praat:120,534,957,1268,1826).
eml-analysis.praat	1826	emlCountGroups	used-before-check	SAFE	.nBlankRows initializes to 0 at emlCountGroups's top (stats/eml-extract.praat:1718) and is incremented only inside the row-loop that runs on the column-found success path (stats/eml-extract.praat:1764); it cannot be nonzero on the column-not-found failure path. The real gate on emlCountGroups.error$ follows on the very next non-comment line (verified identical at all 5 sites: eml-analysis.praat:120,534,957,1268,1826).
eml-analysis.praat	2152	emlTTestInterval	unchecked	FIX	emlTTestInterval (stats/eml-inferential.praat:628-636) fails when t=0 exactly -- two groups/pairs with identical means, a real reachable data state, not a glitch. .low/.high stay undefined and print unexplained in a confidence-interval column at stats/eml-analysis.praat:2152.
eml-analysis.praat	3126	emlPearsonCorrelation	used-before-check	FIX	emlPearsonCorrelation.error$ is captured into .pearErr$ and even copied onto the wrapper's own .error$ at stats/eml-analysis.praat:3148, but is never read again anywhere in the file (grep- confirmed), while the identical-shape .spearErr$ two lines later IS surfaced to the user (:3164-3165, 'Spearman correlation not computed: ' + .spearErr$). A Pearson-side failure silently prints undefined r/t/p with no note while the exact same failure on the Spearman side is disclosed -- a one-line fix with a known-good sibling to copy.
eml-analysis.praat	3552	emlCountGroups	unchecked	FIX	Caller reads emlCountGroups.nGroups/.groupLabel$/.pgTotal but never emlCountGroups.error$; emlCountGroups sets .nGroups=0 on a missing/misspelled column and never changes it on that path (stats/eml-extract.praat:1734-1735), so a real failure is misreported as '0 groups' or 'Groups: 0, Analysed: 0' and the true reason (bad column name) is discarded. Concretely confirmed by Fable at graphs/eml-draw-procedures.praat:2927-2936 (a missing condition column prints 'Found 0' instead of the real error) and stats/eml-analysis.praat:3551-3585 (no fallback message at all).
eml-analysis.praat	3561	eml_getGroupPairedData	unchecked	FIX	Caller reads .n/.data#/.groupN[]/.gN etc. but never eml_getGroupData(.Paired).error$; eml_getGroupData sets .n=0, .data#=zero#(0) on failure (stats/eml-extract.praat:1920-1946) but every one of these sites gates on the derived .n/.groupN instead. This is the core inferential engine -- TukeyHSD, OneWayAnova, KruskalWallis, DunnTest, PairwiseT, PairwiseWilcoxon, Scheffe, BrownForsythe, WelchAnova, GamesHowell in stats/eml-inferential.praat -- plus its group-extraction call sites in the annotation, correlate, check-normality and wizard scripts. One bad cell in one group's data column (a locale comma, a stray non-numeric value the upstream column-exists check does not catch) is silently relabelled 'Group X has 0 observations' with the real diagnosis thrown away, inside the core statistical engine, not a peripheral script.
eml-analysis.praat	3609	eml_getGroupPairedData	unchecked	FIX	Caller reads .n/.data#/.groupN[]/.gN etc. but never eml_getGroupData(.Paired).error$; eml_getGroupData sets .n=0, .data#=zero#(0) on failure (stats/eml-extract.praat:1920-1946) but every one of these sites gates on the derived .n/.groupN instead. This is the core inferential engine -- TukeyHSD, OneWayAnova, KruskalWallis, DunnTest, PairwiseT, PairwiseWilcoxon, Scheffe, BrownForsythe, WelchAnova, GamesHowell in stats/eml-inferential.praat -- plus its group-extraction call sites in the annotation, correlate, check-normality and wizard scripts. One bad cell in one group's data column (a locale comma, a stray non-numeric value the upstream column-exists check does not catch) is silently relabelled 'Group X has 0 observations' with the real diagnosis thrown away, inside the core statistical engine, not a peripheral script.
eml-analysis.praat	3939	emlSkewness	unchecked	FIX	"emlSkewness/emlKurtosis (stats/eml-core-descriptive.praat:294,328) reset .result=undefined on failure (n below minimum, or SD=0 -- a column of identical values, a normal real-data state, not an edge case) but callers use .result unconditionally. Concretely confirmed at stats/eml-analysis.praat:3939-3941/4001-4003: no `if emlKurtosis.error$=""""` guard on the printed string, and at :3734-3735 .kurtosis feeds `abs(.kurtosis) >= threshold` directly -- comparison against undefined is false in Praat, so an incalculable kurtosis is silently read as 'not severe,' feeding a real recommendation, not just a cosmetic display gap."
