cell_id	quantity	value	source
c0001	n_group1	20	praat
c0001	n_group2	20	praat
c0001	n	40	praat
c0001	mean_group1	123.65340661246606	praat
c0001	mean_group2	133.9342280328801	praat
c0001	sd_group1	15.746002363591481	praat
c0001	sd_group2	25.312138796756305	praat
c0001	median_group1	123.09982926178384	praat
c0001	median_group2	135.4196823775431	praat
c0001	mean_diff	-10.280821420414043	praat
c0001	t	-1.5423383217837563	praat
c0001	df	31.789784909512843	praat
c0001	p	0.13288837133543796	praat
c0001	cohens_d	-0.4877302019398362	praat
c0001	hedges_g	-0.47802944435466926	praat
c0002	n_group1	20	praat
c0002	n_group2	20	praat
c0002	n	40	praat
c0002	mean_group1	123.65340661246606	praat
c0002	mean_group2	133.9342280328801	praat
c0002	sd_group1	15.746002363591481	praat
c0002	sd_group2	25.312138796756305	praat
c0002	median_group1	123.09982926178384	praat
c0002	median_group2	135.4196823775431	praat
c0002	mean_diff	-10.280821420414043	praat
c0002	t	-1.5423383217837563	praat
c0002	df	31.789784909512843	praat
c0002	p	0.13288837133543796	praat
c0002	cohens_d	-0.4877302019398362	praat
c0002	hedges_g	-0.47802944435466926	praat
c0003	n_group1	20	praat
c0003	n_group2	20	praat
c0003	n	40	praat
c0003	mean_group1	123.65340661246606	praat
c0003	mean_group2	133.9342280328801	praat
c0003	sd_group1	15.746002363591481	praat
c0003	sd_group2	25.312138796756305	praat
c0003	median_group1	123.09982926178384	praat
c0003	median_group2	135.4196823775431	praat
c0003	mean_diff	-10.280821420414043	praat
c0003	t	-1.542338321783756	praat
c0003	df	38	praat
c0003	p	0.13127893707327898	praat
c0003	cohens_d	-0.4877302019398362	praat
c0003	hedges_g	-0.47802944435466926	praat
c0004	n_group1	20	praat
c0004	n_group2	20	praat
c0004	n	40	praat
c0004	mean_group1	123.65340661246606	praat
c0004	mean_group2	133.9342280328801	praat
c0004	sd_group1	15.746002363591481	praat
c0004	sd_group2	25.312138796756305	praat
c0004	median_group1	123.09982926178384	praat
c0004	median_group2	135.4196823775431	praat
c0004	mean_diff	-10.280821420414043	praat
c0004	t	-1.542338321783756	praat
c0004	df	38	praat
c0004	p	0.13127893707327898	praat
c0004	cohens_d	-0.4877302019398362	praat
c0004	hedges_g	-0.47802944435466926	praat
