cell_id	quantity	value	source
c0001	n	40	base::length
c0001	n_group1	20	base::length
c0001	n_group2	20	base::length
c0001	mean_group1	123.65340661246606	stats::mean
c0001	mean_group2	133.9342280328801	stats::mean
c0001	sd_group1	15.746002363591481	stats::sd
c0001	sd_group2	25.312138796756305	stats::sd
c0001	median_group1	123.09982926178384	stats::median
c0001	median_group2	135.4196823775431	stats::median
c0001	mean_diff	-10.280821420414043	stats::mean
c0001	t	-1.5423383217837563	stats::t.test
c0001	df	31.789784909512836	stats::t.test
c0001	p	0.13288837133543871	stats::t.test
c0001	cohens_d	-0.48773020193983618	effectsize::cohens_d
c0001	hedges_g	-0.47802944435466244	effectsize::hedges_g
c0001	cohens_d	-0.48773020193983618	rstatix::cohens_d
c0002	n	40	base::length
c0002	n_group1	20	base::length
c0002	n_group2	20	base::length
c0002	mean_group1	123.65340661246606	stats::mean
c0002	mean_group2	133.9342280328801	stats::mean
c0002	sd_group1	15.746002363591481	stats::sd
c0002	sd_group2	25.312138796756305	stats::sd
c0002	median_group1	123.09982926178384	stats::median
c0002	median_group2	135.4196823775431	stats::median
c0002	mean_diff	-10.280821420414043	stats::mean
c0002	t	-1.5423383217837563	stats::t.test
c0002	df	31.789784909512836	stats::t.test
c0002	p	0.13288837133543871	stats::t.test
c0002	cohens_d	-0.48773020193983618	effectsize::cohens_d
c0002	hedges_g	-0.47802944435466244	effectsize::hedges_g
c0002	cohens_d	-0.48773020193983618	rstatix::cohens_d
c0003	n	40	base::length
c0003	n_group1	20	base::length
c0003	n_group2	20	base::length
c0003	mean_group1	123.65340661246606	stats::mean
c0003	mean_group2	133.9342280328801	stats::mean
c0003	sd_group1	15.746002363591481	stats::sd
c0003	sd_group2	25.312138796756305	stats::sd
c0003	median_group1	123.09982926178384	stats::median
c0003	median_group2	135.4196823775431	stats::median
c0003	mean_diff	-10.280821420414043	stats::mean
c0003	t	-1.5423383217837565	stats::t.test
c0003	df	38	stats::t.test
c0003	p	0.1312789370732792	stats::t.test
c0003	cohens_d	-0.48773020193983618	effectsize::cohens_d
c0003	hedges_g	-0.47802944435466244	effectsize::hedges_g
c0003	cohens_d	-0.48773020193983618	rstatix::cohens_d
c0004	n	40	base::length
c0004	n_group1	20	base::length
c0004	n_group2	20	base::length
c0004	mean_group1	123.65340661246606	stats::mean
c0004	mean_group2	133.9342280328801	stats::mean
c0004	sd_group1	15.746002363591481	stats::sd
c0004	sd_group2	25.312138796756305	stats::sd
c0004	median_group1	123.09982926178384	stats::median
c0004	median_group2	135.4196823775431	stats::median
c0004	mean_diff	-10.280821420414043	stats::mean
c0004	t	-1.5423383217837565	stats::t.test
c0004	df	38	stats::t.test
c0004	p	0.1312789370732792	stats::t.test
c0004	cohens_d	-0.48773020193983618	effectsize::cohens_d
c0004	hedges_g	-0.47802944435466244	effectsize::hedges_g
c0004	cohens_d	-0.48773020193983618	rstatix::cohens_d
c0005	n	40	base::length
c0005	n_group1	20	base::length
