# rename_call_sites.tsv -- every line holding a retired public-procedure
# name, with its disposition and what the reference DOES.
# Generated by walkthrough/kit/build_rename_inventory.py. Do not hand-edit.
# Every file is searched; no extension filter. Disposition comes from
# RENAME_SCOPE.tsv. Classification is a hint: the ruling requires it
# recorded per file by whoever does the pass, and rule_fired says why.
old_name	new_name	disposition	klass	rule_fired	file	line	line_text
emlRunKWAnalysis	emlRunKruskalWallisAnalysis	RENAME	EXPECTATION_STRING	name quoted as expected content	plugin_EML_StatsGraphs/stats/eml-record.praat	3240	elsif .proc$ = "emlRunKWAnalysis"
emlRunKWAnalysis	emlRunKruskalWallisAnalysis	RENAME	LIVE_CALL	@name appears in the statement	plugin_EML_StatsGraphs/stats/eml-inferential.praat	5477	#                    @emlRunKWAnalysis) reads this instead of
emlRunKWAnalysis	emlRunKruskalWallisAnalysis	RENAME	MENTION	bare name; prose or comment	plugin_EML_StatsGraphs/stats/eml-analysis.praat	900	procedure emlRunKWAnalysis: .tableId, .dataCol$, .groupCol$, .doDunn, .adjMethod$
emlRunKWAnalysis	emlRunKruskalWallisAnalysis	RENAME	EXPECTATION_STRING	name quoted as expected content	plugin_EML_StatsGraphs/stats/eml-analysis.praat	1172	@emlPublishAnalysisResult: "emlRunKWAnalysis", "menu", "group",
emlRunKWAnalysis	emlRunKruskalWallisAnalysis	RENAME	LIVE_CALL	@name appears in the statement	plugin_EML_StatsGraphs/stats/eml-analysis.praat	1196	... "@emlRunKWAnalysis: data, """ + .dataCol$ + """, """ + .groupCol$ + """, " + string$ (.doDunn) + ", """ + .adjMethod$ + """",
emlRunKWAnalysis	emlRunKruskalWallisAnalysis	RENAME	LIVE_CALL	@name appears in the statement	plugin_EML_StatsGraphs/stats/eml-extract.praat	3890	#   @emlRunKWAnalysis         PUBLISHES  the Kruskal-Wallis menu door
emlRunKWAnalysis	emlRunKruskalWallisAnalysis	RENAME	LIVE_CALL	@name appears in the statement	plugin_EML_StatsGraphs/graphs/eml-annotation-procedures.praat	5028	# The declaration @emlRunKWAnalysis makes. NESTED ifs, not `and`, for
emlRunKWAnalysis	emlRunKruskalWallisAnalysis	RENAME	MENTION	bare name; prose or comment	plugin_EML_StatsGraphs/REGISTRY.tsv	67	emlRunKWAnalysis stats/eml-analysis.praat procedure emlRunKWAnalysis: .tableId, .dataCol$, .groupCol$, .doDunn, .adjMethod$ Kruskal-Wallis H test with
emlRunKWAnalysis	emlRunKruskalWallisAnalysis	RENAME	LIVE_CALL	@name appears in the statement	plugin_EML_StatsGraphs/dev/HISTORY_LEDGER.md	2794	10  #        arguments to @emlRunKWAnalysis, matching the ANOVA sibling's
emlRunKWAnalysis	emlRunKruskalWallisAnalysis	RENAME	LIVE_CALL	@name appears in the statement	plugin_EML_StatsGraphs/dev/tests/phase2/test-workflow-verification.praat	238	@emlRunKWAnalysis: tableId, "Data", "Group", 0, "holm"
