k	df	alpha	oracle_source	v154_pass	arbiter_q	port_q	r_q	port_relerr_vs_arbiter	r_relerr_vs_arbiter	verdict
3	5	0.05	grid	TRUE	4.60172605436255	4.60172605436258	4.60172544594284	6.75534447776044e-15	1.32215543636745e-07	PORT_CLOSER
3	5	0.01	grid	TRUE	6.97573663124934	6.97573663124946	6.97572731728216	1.73160587138714e-14	1.33519478553292e-06	PORT_CLOSER
3	20	0.05	R	FALSE	3.57793472522013	3.57793472522013	3.57793458152557	1.11706981697511e-15	4.01613154434481e-08	PORT_CLOSER
3	20	0.01	R	FALSE	4.63922008283434	4.63922008283418	4.6392200778495	3.50353395404817e-14	1.07449921126692e-09	PORT_CLOSER
3	45	0.05	R	TRUE	3.42750720562429	3.42750720562427	3.4275072058163	5.18264946747706e-15	5.60218494186933e-11	PORT_CLOSER
3	45	0.01	R	TRUE	4.33853140114645	4.3385314011463	4.33853140155889	3.52116128854232e-14	9.50643943555373e-11	PORT_CLOSER
5	5	0.05	grid	TRUE	5.67312443546392	5.67312443546325	5.67312453928883	1.18671686086089e-13	1.83011865598108e-08	PORT_CLOSER
5	5	0.01	grid	TRUE	8.42149057774764	8.42149057774741	8.42149494519069	2.76320140494262e-14	5.18606891763846e-07	PORT_CLOSER
5	20	0.05	R	FALSE	4.23185674899748	4.23185674899746	4.23185668293036	4.40746176441847e-15	1.56118506019207e-08	PORT_CLOSER
5	20	0.01	R	FALSE	5.29325251923943	5.29325251923909	5.29325251168825	6.49364539429411e-14	1.4265681501601e-09	PORT_CLOSER
5	45	0.05	R	TRUE	4.01841708934614	4.01841708934622	4.01841708977597	2.07765320511806e-14	1.06965986023073e-10	PORT_CLOSER
5	45	0.01	R	FALSE	4.89269241087845	4.89269241087833	4.89269241619861	2.43252381807603e-14	1.08736918858841e-09	PORT_CLOSER
8	5	0.05	R	FALSE	6.58230087824057	6.58230087818191	6.58230073834916	8.91106376356875e-12	2.12526610610932e-08	PORT_CLOSER
8	5	0.01	grid	TRUE	9.66868910547966	9.66868910541775	9.66868102911367	6.40291683128505e-12	8.35311374902818e-07	PORT_CLOSER
8	20	0.05	R	FALSE	4.76758423023133	4.76758423023211	4.76758420854588	1.64312433372048e-13	4.54851876344759e-09	PORT_CLOSER
8	20	0.01	R	TRUE	5.83891360611676	5.83891360611569	5.83891360168118	1.82688485224784e-13	7.59657206316326e-10	PORT_CLOSER
8	45	0.05	R	TRUE	4.49389354374798	4.4938935437461	4.49389354447938	4.19394582505348e-13	1.62752174853641e-10	PORT_CLOSER
8	45	0.01	R	FALSE	5.3449814086633	5.34498140866302	5.34498143458216	5.30084006326219e-14	4.84919503005892e-09	PORT_CLOSER
3	3	1e-05	grid	TRUE	108.734720246277	108.734720246277	49.6783056874329	2.61385777845666e-16	0.54312380098174	PORT_CLOSER
3	10	1e-05	grid	TRUE	12.8936586701054	12.8936586701083	12.8935898605227	2.26493559252111e-13	5.33669956808292e-06	PORT_CLOSER
5	3	1e-05	grid	TRUE	135.704631945372	135.704631945352	56.8180637565416	1.50376498417864e-13	0.58131080021341	PORT_CLOSER
5	10	1e-05	grid	TRUE	14.4647157100626	14.4647157103718	14.4645851147326	2.13758936143203e-11	9.02854453928134e-06	PORT_CLOSER
