k	df	p_target	oracle_source	v154_pass	arbiter_p	port_p	r_p	scipy_p	port_relerr_vs_arbiter	r_relerr_vs_arbiter	scipy_relerr_vs_arbiter	verdict
2	3	0.1	R	TRUE	0.1	0.0999999999999998	0.100000000000146	0.0999999999999999	2.22044604925031e-15	1.459804499504e-12	1.52655665885959e-15	PORT_CLOSER
2	3	1e-04	grid	TRUE	0.000100000000000304	0.000100000000000304	0.000100000000000304	9.9999999999989e-05	5.42101086241104e-16	5.42101086241104e-16	3.1506915132333e-12	TIE
2	10	0.1	R	TRUE	0.100000000000002	0.100000000000002	0.0999999999678979	0.1	6.93889390390709e-16	3.21040277695411e-10	1.84574577843929e-14	PORT_CLOSER
2	10	1e-04	grid	TRUE	0.000100000000001965	0.000100000000001964	0.000100000000001965	9.9999999999989e-05	5.69206140543707e-15	4.33680868985682e-15	1.97557898855565e-11	TIE
2	45	0.1	R	TRUE	0.100000000000001	0.100000000000001	0.0999999999994284	0.1	4.16333634234429e-16	5.7265303610165e-12	1.0685896612017e-14	PORT_CLOSER
2	45	1e-04	R	TRUE	0.000100000000001077	0.000100000000001077	0.000100000000371803	0.0001000000000001	2.57498015962535e-15	3.70726263269025e-09	9.76730632127362e-12	PORT_CLOSER
2	200	0.1	R	TRUE	0.0999999999998741	0.0999999999998742	0.0999999999999284	0.1	1.38777878078319e-15	5.4331539267662e-13	1.26024191082922e-12	PORT_CLOSER
2	200	1e-04	R	TRUE	9.99999998600967e-05	9.99999998600971e-05	9.99999999232726e-05	9.9999999999989e-05	3.79470760900819e-15	6.31758779204478e-10	1.3989226192432e-09	PORT_CLOSER
3	3	0.1	grid	TRUE	0.1	0.1	0.1	0.1	3.74700270810989e-15	3.74700270810989e-15	4.02455846426618e-15	TIE
3	3	1e-04	grid	TRUE	0.000100000000000542	0.000100000000000543	0.000100000000000542	9.9999999999989e-05	7.31836466423747e-15	2.71050543119906e-15	5.53281921143509e-12	R_CLOSER
3	10	0.1	R	TRUE	0.100000000000001	0.100000000000002	0.100000000000342	0.0999999999999999	9.43689570931373e-15	3.40935613074574e-12	1.19348975147203e-14	PORT_CLOSER
3	10	1e-04	grid	TRUE	0.000100000000001351	0.000100000000001352	0.000100000000001351	9.9999999999989e-05	1.19262238971794e-14	1.897353801824e-15	1.36182569125918e-11	R_CLOSER
3	45	0.1	R	TRUE	0.0999999999999973	0.0999999999999974	0.099999999999322	0.1	1.38777878078148e-15	6.75251521364847e-12	2.72004641033171e-14	PORT_CLOSER
3	45	1e-04	R	TRUE	9.99999999969229e-05	9.99999999969216e-05	0.000100000000395561	9.9999999999989e-05	1.30104260702264e-14	3.98638099539021e-09	3.06608308630188e-11	PORT_CLOSER
3	200	0.1	R	TRUE	0.0999999999999726	0.099999999999982	0.10000000000064	0.1	9.45077349712424e-14	6.67438326829212e-12	2.74225087082489e-13	PORT_CLOSER
3	200	1e-04	R	TRUE	9.99999999693803e-05	9.99999999693883e-05	0.000100000000032519	9.9999999999989e-05	8.0366486060096e-14	6.31387303744608e-10	3.06087214045326e-10	PORT_CLOSER
4	3	0.1	R	TRUE	0.1	0.0999999999999959	0.100000000001161	0.0999999999999999	4.41313652288498e-14	1.16068266109437e-11	4.44089209850061e-15	PORT_CLOSER
4	3	1e-04	grid	TRUE	0.000100000000000456	0.000100000000000454	0.000100000000000456	9.9999999999989e-05	2.35813972514521e-14	3.52365706056181e-15	4.67372451502056e-12	R_CLOSER
4	10	0.1	R	TRUE	0.100000000000002	0.100000000000007	0.100000000007018	0.1	5.14865927669907e-14	7.0161515486332e-11	1.87350135405492e-14	PORT_CLOSER
4	10	1e-04	grid	TRUE	0.000100000000002158	0.000100000000002154	0.000100000000002158	9.9999999999989e-05	3.83536518508471e-14	1.62630325869316e-15	2.16885157832036e-11	R_CLOSER
4	45	0.1	R	TRUE	0.100000000000003	0.10000000000002	0.100000000003402	0.1	1.73888681231911e-13	3.39939187909968e-11	2.63677968348468e-14	PORT_CLOSER
4	45	1e-04	R	TRUE	0.000100000000002952	0.000100000000002951	0.000100000000305744	9.9999999999989e-05	5.28548559071083e-15	3.02792472618281e-09	2.96254177864773e-11	PORT_CLOSER
4	200	0.1	R	TRUE	0.0999999999999268	0.099999999999958	0.100000000007374	0.1	3.11556336285663e-13	7.44715400458607e-11	7.32469640496983e-13	PORT_CLOSER
4	200	1e-04	R	TRUE	9.99999999186572e-05	9.99999999186654e-05	9.99999999815593e-05	9.9999999999989e-05	8.18572640892406e-14	6.2902089729622e-10	8.13317784008637e-10	PORT_CLOSER
5	3	0.1	grid	TRUE	0.1	0.099999999999944	0.1	0.0999999999999999	5.60801405313782e-13	6.93889390390722e-16	2.08166817117217e-15	R_CLOSER
5	3	1e-04	grid	TRUE	0.00010000000000021	0.000100000000000165	0.00010000000000021	9.9999999999989e-05	4.51841255382384e-13	1.76182853028524e-15	2.21190795713734e-12	R_CLOSER
5	10	0.1	R	TRUE	0.100000000000001	0.100000000000011	0.100000000005155	0.0999999999999999	1.00752739484732e-13	5.15407161394416e-11	1.05471187339389e-14	PORT_CLOSER
5	10	1e-04	grid	TRUE	0.000100000000001178	0.000100000000001086	0.000100000000001178	9.9999999999989e-05	9.15066633566991e-13	5.01443504768641e-15	1.18851597399177e-11	R_CLOSER
5	45	0.1	R	TRUE	0.100000000000002	0.100000000000055	0.100000000010235	0.1	5.32074384551597e-13	1.0233203173726e-10	1.70696790036115e-14	PORT_CLOSER
